"P0",,,,,,,,,,,,,,"P1",,,,,,,,,,,,,"P2",,,,,,,,,,,,,"P3",,,,,,,,,,,,,"P4",,,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement"
10,3.97396,-1.17823,-506.765,0.00158388,-0.000474353,-0.00119515,-3.24332e-05,-9.22069e-05,-2.15656e-05,-2.52861e-05,-9.93539e-05,8.94465e-05,0.00204584,2.16714,-3.11547,-497.141,0.00170246,-0.000175615,-0.000829111,-2.38413e-05,-4.08237e-05,-2.70571e-05,-3.94303e-06,-6.0722e-05,5.89145e-05,0.00190283,2.44068,-10.3861,-501.658,0.00176033,-0.00035647,-0.000526644,1.55844e-05,-1.68034e-05,-2.32155e-05,2.78848e-05,-2.91038e-05,4.96507e-05,0.00187392,2.68465,-17.0047,-503.874,0.00147415,-0.000573287,-0.0010607,3.7239e-06,-4.66653e-05,1.86632e-05,1.01359e-05,-5.30773e-05,5.91144e-05,0.00190816,3.29601,-26.1456,-509.74,0.00128932,-0.000186148,0.00096512,-4.46324e-06,-2.18125e-05,4.44377e-05,3.25277e-05,-5.88035e-05,8.03872e-05,0.00162635
11,3.97396,-1.17823,-506.765,0.00158695,-0.00060102,-9.08072e-05,1.40517e-05,-0.000162562,-4.54483e-05,2.51015e-05,-0.000173611,0.000187437,0.00172893,2.16714,-3.11547,-497.141,0.00178038,-0.000267079,-0.000967025,1.12617e-05,-7.3837e-05,-3.33893e-05,2.28083e-05,-8.53836e-05,9.87863e-05,0.00204406,2.44068,-10.3861,-501.658,0.00151802,-0.000439621,-0.000509881,2.98948e-05,-1.98152e-06,-1.90017e-05,3.8798e-05,-1.08847e-05,4.57046e-05,0.00166531,2.68465,-17.0047,-503.874,0.00163353,-0.000572267,-0.00097137,1.32739e-05,-1.6463e-05,2.18798e-05,2.4876e-05,-2.80651e-05,4.647e-05,0.00199643,3.29601,-26.1456,-509.74,0.00117314,-0.000427074,0.00105435,7.86583e-07,-2.58322e-05,8.25547e-05,7.12546e-05,-9.63002e-05,0.000145737,0.00164477
12,3.97396,-1.17823,-506.765,0.00148391,-0.000427013,-0.000923474,-2.16043e-05,-0.00016836,-5.18072e-05,-5.00669e-06,-0.000184957,0.00018254,0.00181429,2.16714,-3.11547,-497.141,0.00160982,-0.000138881,-0.00119602,1.48471e-06,-7.03781e-05,-3.13238e-05,1.32887e-05,-8.2182e-05,8.96059e-05,0.00201346,2.44068,-10.3861,-501.658,0.00165692,-0.000290896,-0.000719314,3.73088e-05,-2.59561e-05,-1.33081e-05,4.05239e-05,-2.91712e-05,6.06503e-05,0.00183014,2.68465,-17.0047,-503.874,0.00151298,-0.000562881,-0.000991298,1.72059e-05,-1.91532e-05,1.41775e-06,1.77616e-05,-1.97089e-05,3.27967e-05,0.00189571,3.29601,-26.1456,-509.74,0.0011496,-0.000558442,0.000620186,-1.97314e-05,-7.41252e-05,5.33256e-05,1.30365e-05,-0.000106893,0.00011408,0.00142627
13,3.97396,-1.17823,-506.765,0.00144175,-0.000371621,-0.000623073,4.19326e-06,-0.000102067,-2.7036e-05,1.08091e-05,-0.000108683,0.000114495,0.00164935,2.16714,-3.11547,-497.141,0.00142804,-0.000107552,-0.00117662,6.61026e-06,-5.2581e-05,-1.77837e-05,1.16702e-05,-5.76409e-05,6.4278e-05,0.00185387,2.44068,-10.3861,-501.658,0.00144431,-0.000401343,-2.27522e-05,3.47163e-05,-3.97951e-05,-3.51341e-05,4.86811e-05,-5.37599e-05,8.8847e-05,0.00150607,2.68465,-17.0047,-503.874,0.0013999,-0.000662256,-0.000694793,1.72562e-05,1.22459e-05,-2.07387e-06,2.09515e-05,8.55057e-06,1.83065e-05,0.00171406,3.29601,-26.1456,-509.74,0.00100521,-0.000586025,0.000845877,2.49714e-07,-1.55233e-05,9.88114e-05,9.15273e-05,-0.000106801,0.000172022,0.00144179
14,3.97396,-1.17823,-506.765,0.00126609,-0.000149119,-0.00142153,-3.8994e-05,-0.000100004,-2.83273e-05,-2.75488e-05,-0.000111449,0.000100583,0.00195664,2.16714,-3.11547,-497.141,0.00118697,0.000351703,-0.00128451,-9.62944e-06,-6.59937e-05,-2.2518e-05,-1.68794e-06,-7.39352e-05,7.32146e-05,0.00178909,2.44068,-10.3861,-501.658,0.00132701,-0.000288656,-1.99489e-05,4.19615e-05,-1.68574e-05,-3.74704e-05,6.02046e-05,-3.51005e-05,8.36284e-05,0.00136565,2.68465,-17.0047,-503.874,0.00136977,-0.000605129,-0.00115509,5.43735e-06,1.83526e-05,-6.88427e-06,2.14098e-05,2.38013e-06,2.05224e-05,0.00189138,3.29601,-26.1456,-509.74,0.000988405,-0.000409397,0.000717896,1.7819e-06,-9.63637e-05,8.69987e-05,5.26052e-05,-0.000147187,0.000179391,0.00130832
15,3.97396,-1.17823,-506.765,0.000934686,-0.000368386,-0.00130327,-1.72343e-05,-0.000153384,-2.68476e-05,-1.20656e-05,-0.000158553,0.000152963,0.0016647,2.16714,-3.11547,-497.141,0.00102232,-1.98503e-06,-0.00115487,5.67514e-06,-8.51452e-05,-2.44564e-05,1.18474e-05,-9.13174e-05,9.77958e-05,0.00154542,2.44068,-10.3861,-501.658,0.00121461,-8.69314e-05,-0.000440934,3.15683e-05,-1.36198e-05,-1.40188e-05,3.56959e-05,-1.77474e-05,4.72403e-05,0.00129683,2.68465,-17.0047,-503.874,0.00125478,-0.000566474,-0.000366286,2.24573e-05,5.11091e-05,-1.76176e-05,5.95351e-05,1.40313e-05,5.39643e-05,0.0014326,3.29601,-26.1456,-509.74,0.000944643,-0.000410214,0.000531059,-3.43267e-05,-0.000105307,9.38217e-05,3.05312e-05,-0.000170165,0.000187332,0.00117886
16,3.97396,-1.17823,-506.765,0.000632753,-0.000369743,-0.0012914,8.14863e-06,-8.52231e-05,2.41105e-05,1.46617e-05,-9.17362e-05,0.000100296,0.00148803,2.16714,-3.11547,-497.141,0.000762759,-6.28987e-05,-0.00105326,5.57329e-08,-4.84407e-05,-2.04255e-06,2.54269e-07,-4.86392e-05,4.88623e-05,0.0013024,2.44068,-10.3861,-501.658,0.00102556,-4.82671e-05,-0.000342299,3.71242e-05,-5.28483e-05,-4.1624e-05,5.34553e-05,-6.91795e-05,0.00010653,0.00109375,2.68465,-17.0047,-503.874,0.00125552,-0.000363465,0.000378944,3.19177e-05,5.30677e-05,-6.01319e-06,5.60147e-05,2.89707e-05,4.85895e-05,0.00138469,3.29601,-26.1456,-509.74,0.000874701,-0.000461788,0.00208863,1.30017e-06,-7.23594e-05,7.86711e-05,5.14384e-05,-0.000122498,0.000154799,0.0023131
17,3.97396,-1.17823,-506.765,0.000832682,-0.000253289,-0.000681741,3.04681e-06,-7.64828e-05,2.31694e-05,9.45559e-06,-8.28915e-05,8.80511e-05,0.00112516,2.16714,-3.11547,-497.141,0.000839716,0.000185282,-0.00071241,-8.4983e-06,-5.4513e-05,9.35424e-06,-6.53541e-06,-5.64759e-05,5.35323e-05,0.0011217,2.44068,-10.3861,-501.658,0.00100132,-4.06402e-05,-0.000433273,4.16537e-05,3.79364e-05,-1.42712e-05,5.43299e-05,2.52602e-05,4.74729e-05,0.00109749,2.68465,-17.0047,-503.874,0.00119479,-0.000417709,-0.00168195,2.07883e-05,1.21092e-05,-3.99309e-06,2.39239e-05,8.97361e-06,2.11019e-05,0.00210634,3.29601,-26.1456,-509.74,0.000814082,-0.000387028,0.000292506,-2.1698e-05,-0.000116253,0.000113182,5.36848e-05,-0.000191636,0.000223403,0.000982409
18,3.97396,-1.17823,-506.765,0.000526734,-0.000345268,-0.000471564,-2.29682e-05,-8.04141e-05,-7.61232e-06,-2.1807e-05,-8.15753e-05,7.3204e-05,0.000830782,2.16714,-3.11547,-497.141,0.000827637,0.00011387,-0.000834231,-1.49461e-05,-2.81456e-05,2.93712e-06,-1.40309e-05,-2.90608e-05,2.5396e-05,0.00118162,2.44068,-10.3861,-501.658,0.000826395,-0.00010246,0.00010713,2.29737e-05,-2.0213e-05,-2.29328e-05,3.31793e-05,-3.04185e-05,5.51452e-05,0.000858641,2.68465,-17.0047,-503.874,0.00112677,-0.000401884,-0.00106909,1.61167e-05,4.75666e-05,-1.87074e-05,5.62995e-05,7.3838e-06,5.30101e-05,0.00161365,3.29601,-26.1456,-509.74,0.000852965,-0.000502436,-0.000199351,-5.74392e-06,-8.41753e-05,7.55036e-05,4.0143e-05,-0.000130062,0.000154147,0.00101048
19,3.97396,-1.17823,-506.765,0.00030551,-0.00039092,-0.000514049,3.27384e-05,-2.73563e-05,1.37683e-05,3.60699e-05,-3.06878e-05,5.80854e-05,0.000726804,2.16714,-3.11547,-497.141,0.00045858,-0.000136333,-0.00100535,1.05437e-05,1.76754e-06,-2.04564e-06,1.11105e-05,1.20074e-06,1.42009e-05,0.00111548,2.44068,-10.3861,-501.658,0.000762096,6.83068e-05,-0.00144286,3.09759e-05,-1.18158e-05,-4.92022e-05,6.32391e-05,-4.4079e-05,9.35523e-05,0.00163576,2.68465,-17.0047,-503.874,0.000991279,-0.000503764,-0.00211452,8.01304e-06,2.75198e-05,-1.69874e-05,3.73807e-05,-1.84786e-06,3.83576e-05,0.0023899,3.29601,-26.1456,-509.74,0.000683571,-0.000394107,0.000354012,4.0919e-06,-6.07611e-05,7.07479e-05,4.95034e-05,-0.000106173,0.000137781,0.000865918
