"P0",,,,,,,,,,,,,,"P1",,,,,,,,,,,,,"P2",,,,,,,,,,,,,"P3",,,,,,,,,,,,,"P4",,,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement"
1192,3.97396,-1.17823,-506.765,0.000428221,0.00522039,-0.0130591,0.000146151,0.000220687,-0.000312407,0.000498855,-0.000132017,0.000577315,0.0140717,2.16714,-3.11547,-497.141,0.000269664,0.00564582,-0.012419,0.00012604,7.74221e-05,-0.000114396,0.000219045,-1.55825e-05,0.000227534,0.0136451,2.44068,-10.3861,-501.658,-0.000629514,0.00633494,-0.0110193,0.000108782,-0.000112865,4.28557e-05,0.000117111,-0.000121193,0.000206539,0.0127264,2.68465,-17.0047,-503.874,-0.00102356,0.00668499,-0.0113832,9.19363e-05,-4.03958e-05,5.33054e-05,0.000110858,-5.93172e-05,0.000149637,0.0132409,3.29601,-26.1456,-509.74,-0.00153024,0.0067359,-0.0112325,4.20219e-05,1.8075e-05,5.17555e-05,8.34665e-05,-2.33696e-05,9.73887e-05,0.0131869
1193,3.97396,-1.17823,-506.765,0.000430691,0.00516843,-0.0137314,0.000132636,0.000274339,-0.000304632,0.000517421,-0.000110447,0.00058163,0.0146821,2.16714,-3.11547,-497.141,0.000275185,0.00560925,-0.0123001,0.000120713,0.00011157,-8.36791e-05,0.000201222,3.10611e-05,0.000188065,0.013523,2.44068,-10.3861,-501.658,-0.000662589,0.00653752,-0.0117234,0.000114263,-0.000119561,5.73223e-05,0.000127664,-0.000132962,0.000225801,0.0134396,2.68465,-17.0047,-503.874,-0.000957125,0.00685953,-0.0122671,8.33086e-05,-6.99876e-05,2.87402e-05,8.85453e-05,-7.52243e-05,0.000142116,0.0140874,3.29601,-26.1456,-509.74,-0.00157131,0.00685095,-0.0118931,3.1817e-05,3.82591e-05,4.36021e-05,7.91391e-05,-9.06292e-06,8.41186e-05,0.0138152
1194,3.97396,-1.17823,-506.765,2.22486e-05,0.00530738,-0.0137392,0.000167148,0.000202832,-0.000284029,0.000470412,-0.000100432,0.000529402,0.0147293,2.16714,-3.11547,-497.141,-5.50648e-05,0.0057371,-0.0135125,0.000139626,6.15789e-05,-8.59039e-05,0.00019557,5.63509e-06,0.000193567,0.0146804,2.44068,-10.3861,-501.658,-0.000894964,0.00666619,-0.0117712,0.000119913,-0.000160265,5.24093e-05,0.000129423,-0.000169775,0.00025998,0.013558,2.68465,-17.0047,-503.874,-0.00134667,0.00682157,-0.012322,7.95842e-05,-1.31431e-05,5.76753e-05,0.000107277,-4.08363e-05,0.000132721,0.0141489,3.29601,-26.1456,-509.74,-0.00196965,0.00698105,-0.010431,5.03731e-05,6.2595e-05,7.26893e-05,0.000129835,-1.68665e-05,0.000139274,0.0127057
1195,3.97396,-1.17823,-506.765,-6.12465e-05,0.00542561,-0.0144415,0.000149122,0.000203016,-0.000317354,0.000495267,-0.00014313,0.000581606,0.0154299,2.16714,-3.11547,-497.141,-0.000132039,0.00602567,-0.0132254,0.000128398,7.99483e-05,-0.00011236,0.000219502,-1.11556e-05,0.000226016,0.0145348,2.44068,-10.3861,-501.658,-0.000781531,0.00676836,-0.0124524,0.000125664,-0.000120905,4.46612e-05,0.000133547,-0.000128788,0.00022734,0.0141954,2.68465,-17.0047,-503.874,-0.00125966,0.00690067,-0.0118389,8.82926e-05,-4.68957e-05,4.20746e-05,0.000100356,-5.8959e-05,0.000139572,0.0137612,3.29601,-26.1456,-509.74,-0.00184762,0.00698386,-0.0100002,2.51785e-05,5.00826e-05,2.55608e-05,6.76601e-05,7.60096e-06,6.46598e-05,0.0123369
1196,3.97396,-1.17823,-506.765,-0.000105198,0.00543379,-0.0149903,0.000152181,0.000231744,-0.000309538,0.000504932,-0.000121007,0.000576607,0.0159507,2.16714,-3.11547,-497.141,-0.000343408,0.00601563,-0.0130748,0.000137618,8.60366e-05,-0.000110165,0.00022586,-2.20555e-06,0.000227401,0.0143965,2.44068,-10.3861,-501.658,-0.00103711,0.00696992,-0.0127583,0.000128027,-0.000141581,3.91621e-05,0.000133639,-0.000147193,0.000243374,0.0145758,2.68465,-17.0047,-503.874,-0.0014025,0.00706636,-0.0123484,8.84558e-05,-4.51406e-05,1.32413e-05,8.97784e-05,-4.64632e-05,0.000120095,0.0142963,3.29601,-26.1456,-509.74,-0.00181365,0.00718385,-0.0113036,4.26799e-05,2.89531e-05,4.61794e-05,8.27039e-05,-1.10709e-05,8.88829e-05,0.0135159
1197,3.97396,-1.17823,-506.765,-8.93744e-05,0.00561914,-0.0153476,0.000157265,0.000178386,-0.000315879,0.00048522,-0.00014957,0.000576151,0.0163499,2.16714,-3.11547,-497.141,-0.000377818,0.00625455,-0.0135619,0.000136355,3.21286e-05,-0.000110743,0.000207523,-3.90385e-05,0.000230037,0.01494,2.44068,-10.3861,-501.658,-0.00113737,0.00708334,-0.0129138,0.000111244,-8.5058e-05,7.80279e-05,0.000138506,-0.00011232,0.000217692,0.0147731,2.68465,-17.0047,-503.874,-0.00151082,0.00728188,-0.0122145,6.68547e-05,-2.84149e-05,1.18552e-05,6.83101e-05,-2.98702e-05,8.72938e-05,0.0143008,3.29601,-26.1456,-509.74,-0.00205801,0.00719494,-0.010696,5.91581e-05,3.7885e-05,6.73793e-05,0.000116844,-1.98007e-05,0.000128085,0.0130545
1198,3.97396,-1.17823,-506.765,-0.000146483,0.00550038,-0.0143161,0.000160926,0.000122539,-0.000345431,0.000489092,-0.000205628,0.000619014,0.015341,2.16714,-3.11547,-497.141,-0.000389667,0.00615248,-0.0130105,0.000146114,2.46254e-05,-0.000115668,0.000217085,-4.63462e-05,0.000243863,0.014398,2.44068,-10.3861,-501.658,-0.00125344,0.00708378,-0.0127774,0.000147732,-9.08104e-05,6.91287e-05,0.000166339,-0.000109417,0.000240538,0.0146637,2.68465,-17.0047,-503.874,-0.00166567,0.00721954,-0.0124573,7.76013e-05,-3.94652e-05,1.36875e-05,7.92463e-05,-4.11102e-05,0.000106149,0.0144942,3.29601,-26.1456,-509.74,-0.00210747,0.00743884,-0.0120893,3.21104e-05,-9.36694e-06,1.15645e-05,3.52105e-05,-1.2467e-05,4.30837e-05,0.0143505
1199,3.97396,-1.17823,-506.765,-0.000250936,0.00562932,-0.0148292,0.000144213,0.000149218,-0.00030545,0.000453472,-0.000160041,0.000552468,0.015866,2.16714,-3.11547,-497.141,-0.000485062,0.00621049,-0.0138691,0.000125013,2.95425e-05,-9.34978e-05,0.000183392,-2.88358e-05,0.000200008,0.0152045,2.44068,-10.3861,-501.658,-0.00149887,0.0071137,-0.0129831,0.000136493,-8.80776e-05,4.45304e-05,0.000145048,-9.66323e-05,0.000210806,0.0148803,2.68465,-17.0047,-503.874,-0.00167446,0.00706957,-0.0131487,7.86239e-05,-7.91048e-05,-6.66236e-08,7.86379e-05,-7.91189e-05,0.000136833,0.0150225,3.29601,-26.1456,-509.74,-0.00217511,0.00734298,-0.0125248,4.24315e-05,5.79104e-05,4.38576e-05,9.49435e-05,5.3985e-06,9.24062e-05,0.014681
1200,3.97396,-1.17823,-506.765,-0.000363368,0.0056194,-0.0149301,0.000128357,0.000144274,-0.000315831,0.000453312,-0.00018068,0.000566806,0.015958,2.16714,-3.11547,-497.141,-0.000536915,0.00604573,-0.0137402,0.000109405,1.90291e-05,-0.000108637,0.00018265,-5.4216e-05,0.000215485,0.0150219,2.44068,-10.3861,-501.658,-0.00155681,0.00707265,-0.0130575,0.000123689,-0.000111147,4.12647e-05,0.000130811,-0.00011827,0.00021591,0.0149315,2.68465,-17.0047,-503.874,-0.00179323,0.00724137,-0.0119704,8.1756e-05,-5.8679e-05,2.98078e-05,8.78633e-05,-6.47863e-05,0.000132767,0.0141047,3.29601,-26.1456,-509.74,-0.0022943,0.00757446,-0.0122968,3.37544e-05,1.05262e-05,1.44338e-05,4.06959e-05,3.58468e-06,3.9896e-05,0.0146241
1201,3.97396,-1.17823,-506.765,-0.000440515,0.0052597,-0.014767,0.000107486,0.00014971,-0.000310193,0.000440769,-0.000183573,0.000557134,0.0156847,2.16714,-3.11547,-497.141,-0.000632926,0.0058734,-0.0133806,0.000109037,4.30475e-05,-0.000101416,0.000183982,-3.18979e-05,0.00020242,0.0146269,2.44068,-10.3861,-501.658,-0.00154309,0.00677232,-0.0130261,0.000106355,-0.000140363,5.18523e-05,0.000116821,-0.00015083,0.000232464,0.0147632,2.68465,-17.0047,-503.874,-0.00172377,0.00714297,-0.0134581,5.68301e-05,-2.73758e-05,1.95142e-05,6.11655e-05,-3.17112e-05,8.18987e-05,0.0153336,3.29601,-26.1456,-509.74,-0.00246142,0.00743681,-0.0118066,3.33765e-05,-1.34855e-05,3.8813e-05,5.54312e-05,-3.55402e-05,7.96587e-05,0.0141703
1202,3.97396,-1.17823,-506.765,-0.000619454,0.0053226,-0.014364,0.000148568,0.000169239,-0.000310901,0.000470928,-0.000153121,0.000564393,0.0153317,2.16714,-3.11547,-497.141,-0.000736479,0.00583849,-0.0146242,0.000128986,5.15633e-05,-0.000105601,0.000203674,-2.31244e-05,0.000216705,0.0157641,2.44068,-10.3861,-501.658,-0.00160695,0.00680189,-0.0132978,0.000114102,-0.000129824,5.59174e-05,0.000126335,-0.000142057,0.000232664,0.0150241,2.68465,-17.0047,-503.874,-0.00189522,0.0069564,-0.0134402,8.53778e-05,-8.20338e-05,3.46792e-05,9.23162e-05,-8.89721e-05,0.000157118,0.015252,3.29601,-26.1456,-509.74,-0.00248135,0.00732287,-0.0120198,3.14651e-05,5.60188e-06,5.02182e-05,7.0734e-05,-3.3667e-05,9.24191e-05,0.014292
1203,3.97396,-1.17823,-506.765,-0.000863125,0.00519587,-0.0146913,0.000147245,0.000143824,-0.000325828,0.000472476,-0.000181408,0.000585608,0.0156085,2.16714,-3.11547,-497.141,-0.000886414,0.00573169,-0.0142859,0.000122994,2.3588e-05,-0.000121687,0.000205464,-5.88821e-05,0.000240813,0.0154186,2.44068,-10.3861,-501.658,-0.00165562,0.00670707,-0.0133512,0.000115594,-0.000109685,2.57968e-05,0.000118522,-0.000112613,0.000200299,0.015033,2.68465,-17.0047,-503.874,-0.00215042,0.00693964,-0.0130324,7.08467e-05,-5.61343e-05,8.22591e-06,7.14104e-05,-5.66981e-05,0.000111405,0.0149208,3.29601,-26.1456,-509.74,-0.00264432,0.00727209,-0.0116169,3.37764e-05,-1.15911e-05,6.32921e-05,7.84834e-05,-5.62982e-05,0.000117386,0.0139593
1204,3.97396,-1.17823,-506.765,-0.000844315,0.0052715,-0.014995,0.000146436,0.000129341,-0.000301416,0.000441077,-0.000165301,0.000543988,0.0159181,2.16714,-3.11547,-497.141,-0.00106574,0.00576292,-0.0141051,0.000117695,1.77623e-05,-0.000102875,0.000183775,-4.83172e-05,0.000212517,0.0152743,2.44068,-10.3861,-501.658,-0.00204463,0.00657688,-0.0127231,0.000102719,-0.000130699,5.24972e-05,0.000114022,-0.000142001,0.000222204,0.0144686,2.68465,-17.0047,-503.874,-0.00234267,0.00682071,-0.0136097,6.99861e-05,-6.40241e-05,7.97761e-06,7.04707e-05,-6.45087e-05,0.000117166,0.0154026,3.29601,-26.1456,-509.74,-0.00278405,0.00706058,-0.0115838,2.93272e-05,-3.70978e-05,3.33434e-05,4.33021e-05,-5.10726e-05,8.18723e-05,0.0138492
1205,3.97396,-1.17823,-506.765,-0.000996383,0.00518616,-0.0150318,0.000153253,0.000189323,-0.000292909,0.000465781,-0.000123206,0.000539219,0.015935,2.16714,-3.11547,-497.141,-0.00113355,0.00587437,-0.0138074,0.000120082,4.01818e-05,-0.00010217,0.00019063,-3.0366e-05,0.000207921,0.015048,2.44068,-10.3861,-501.658,-0.00207588,0.00676398,-0.0124727,0.000122561,-0.000136013,2.84738e-05,0.000125732,-0.000139185,0.000229677,0.0143402,2.68465,-17.0047,-503.874,-0.00234703,0.00682587,-0.0126503,8.71774e-05,-1.14676e-05,1.50366e-05,8.94497e-05,-1.37399e-05,9.7228e-05,0.0145647,3.29601,-26.1456,-509.74,-0.00277637,0.00716673,-0.0113263,4.0444e-05,-4.33427e-05,4.52953e-05,6.03793e-05,-6.3278e-05,0.000107342,0.0136883
1206,3.97396,-1.17823,-506.765,-0.00127029,0.00522924,-0.014441,0.000118384,0.000143017,-0.000306148,0.000438342,-0.000176941,0.000549826,0.0154122,2.16714,-3.11547,-497.141,-0.00132269,0.00581173,-0.0140646,0.000105261,2.05092e-05,-0.000105519,0.000177603,-5.18324e-05,0.000209055,0.0152757,2.44068,-10.3861,-501.658,-0.00227649,0.00671208,-0.0133559,0.00010836,-0.000113419,5.09455e-05,0.000119505,-0.000124564,0.000211438,0.015121,2.68465,-17.0047,-503.874,-0.00252609,0.00674299,-0.0139279,5.20456e-05,-6.39231e-05,1.42834e-05,5.38286e-05,-6.57061e-05,0.000103977,0.0156793,3.29601,-26.1456,-509.74,-0.00289318,0.00696466,-0.010213,2.832e-05,3.74737e-05,2.9837e-05,6.49716e-05,8.22164e-07,6.53505e-05,0.0126965
1207,3.97396,-1.17823,-506.765,-0.00128212,0.0050759,-0.0150253,0.000143284,0.000184382,-0.000301461,0.000467327,-0.000139661,0.000551979,0.0159145,2.16714,-3.11547,-497.141,-0.00153317,0.00568614,-0.0138457,0.000126177,3.78241e-05,-0.000107679,0.000199693,-3.56919e-05,0.000220335,0.0150463,2.44068,-10.3861,-501.658,-0.00226558,0.00662671,-0.0128152,0.000112486,-0.000125313,4.89643e-05,0.000122192,-0.000135019,0.000222898,0.0146044,2.68465,-17.0047,-503.874,-0.00261799,0.00673245,-0.012697,6.99752e-05,-7.17561e-05,-6.79788e-06,7.03309e-05,-7.21118e-05,0.000123451,0.0146081,3.29601,-26.1456,-509.74,-0.00295063,0.00707315,-0.0110786,2.94261e-05,1.54732e-05,1.45683e-05,3.91167e-05,5.78252e-06,3.75909e-05,0.0134713
1208,3.97396,-1.17823,-506.765,-0.00132566,0.00520353,-0.0147775,0.000191288,0.000183533,-0.000304408,0.000492817,-0.000117996,0.000562416,0.0157243,2.16714,-3.11547,-497.141,-0.00145058,0.00562791,-0.0140297,0.000143333,4.99742e-05,-0.000114117,0.000220744,-2.74366e-05,0.000236368,0.0151862,2.44068,-10.3861,-501.658,-0.00241413,0.00649795,-0.0125022,0.000104984,-0.000144536,3.39211e-05,0.000109514,-0.000149065,0.000224865,0.0142957,2.68465,-17.0047,-503.874,-0.00283247,0.00670145,-0.0134418,7.0932e-05,-6.10507e-05,-3.76829e-06,7.11154e-05,-6.12341e-05,0.000114863,0.0152845,3.29601,-26.1456,-509.74,-0.00308403,0.00718795,-0.0111383,2.23214e-05,-2.564e-05,5.6533e-05,5.99433e-05,-6.32619e-05,0.000106817,0.0136103
1209,3.97396,-1.17823,-506.765,-0.00137907,0.00490911,-0.0132763,7.83878e-05,0.000137901,-0.00034551,0.00045627,-0.000239981,0.000613376,0.0142229,2.16714,-3.11547,-497.141,-0.00148671,0.00540947,-0.0129804,9.07758e-05,4.42503e-05,-0.00012452,0.000195193,-6.01672e-05,0.000231597,0.0141411,2.44068,-10.3861,-501.658,-0.00238394,0.00640403,-0.0127141,9.10653e-05,-0.000123066,3.56276e-05,9.68563e-05,-0.000128857,0.000196145,0.0144347,2.68465,-17.0047,-503.874,-0.00277895,0.00655144,-0.0130846,5.24926e-05,-5.62017e-05,1.30573e-05,5.40598e-05,-5.77689e-05,9.71635e-05,0.014895,3.29601,-26.1456,-509.74,-0.00304844,0.00699362,-0.0118899,3.22982e-05,-6.43396e-05,2.42183e-05,3.83197e-05,-7.03611e-05,9.55948e-05,0.0141271
1210,3.97396,-1.17823,-506.765,-0.00136977,0.00460839,-0.0135147,0.000133631,0.000196531,-0.000316099,0.000483473,-0.000153311,0.000576955,0.0143456,2.16714,-3.11547,-497.141,-0.00159169,0.00518173,-0.01292,0.000101186,6.3586e-05,-0.000122939,0.000207393,-4.26207e-05,0.000232361,0.0140113,2.44068,-10.3861,-501.658,-0.00255036,0.00618317,-0.0126153,8.91145e-05,-0.000112506,3.05585e-05,9.36635e-05,-0.000117055,0.000182928,0.0142791,2.68465,-17.0047,-503.874,-0.00279822,0.00638371,-0.0130886,3.41154e-05,-8.61074e-05,-5.75702e-06,3.44122e-05,-8.64041e-05,0.000107921,0.0148289,3.29601,-26.1456,-509.74,-0.00302553,0.00697357,-0.0111146,3.19695e-05,1.35766e-05,5.33922e-06,3.59235e-05,9.62262e-06,3.36532e-05,0.0134662
1211,3.97396,-1.17823,-506.765,-0.00150015,0.00451056,-0.014171,0.000147677,0.000205483,-0.000317607,0.000496343,-0.000143183,0.000582839,0.0149493,2.16714,-3.11547,-497.141,-0.00156417,0.00499087,-0.0129134,0.000115984,7.60044e-05,-0.000110356,0.000208977,-1.69884e-05,0.000218724,0.0139324,2.44068,-10.3861,-501.658,-0.00279598,0.00606565,-0.0123352,9.37847e-05,-0.000130977,3.30997e-05,9.86252e-05,-0.000135818,0.000203908,0.0140277,2.68465,-17.0047,-503.874,-0.0029941,0.00618198,-0.0138737,3.98113e-05,-8.46138e-05,-5.14479e-06,4.00627e-05,-8.48652e-05,0.000110671,0.0154812,3.29601,-26.1456,-509.74,-0.00321551,0.00685446,-0.0103555,2.50705e-05,4.37919e-06,2.29647e-05,4.07026e-05,-1.1253e-05,4.81238e-05,0.0128283
1212,3.97396,-1.17823,-506.765,-0.00178478,0.00433693,-0.0141131,0.000126124,0.000203912,-0.000303718,0.000472144,-0.000142109,0.000558207,0.0148734,2.16714,-3.11547,-497.141,-0.00186049,0.00476871,-0.0127555,0.0001066,7.02361e-05,-0.000110981,0.000201343,-2.45067e-05,0.000215373,0.0137447,2.44068,-10.3861,-501.658,-0.00283944,0.00569642,-0.0130371,8.126e-05,-9.05918e-05,2.4615e-05,8.48134e-05,-9.41452e-05,0.000155075,0.0145082,2.68465,-17.0047,-503.874,-0.00309409,0.0059891,-0.0133392,3.67643e-05,-9.97579e-05,-1.01738e-05,3.7567e-05,-0.000100561,0.000123852,0.014946,3.29601,-26.1456,-509.74,-0.00354624,0.00653252,-0.0114429,4.44942e-05,-1.78322e-06,6.4911e-05,9.0325e-05,-4.7614e-05,0.000121455,0.0136461
1213,3.97396,-1.17823,-506.765,-0.00172808,0.0042769,-0.0129826,0.000120139,0.000163181,-0.000325723,0.000468822,-0.000185501,0.000585287,0.0137793,2.16714,-3.11547,-497.141,-0.00188506,0.00476981,-0.0123538,0.000100732,5.38955e-05,-0.00012014,0.000200318,-4.56901e-05,0.000227308,0.0133762,2.44068,-10.3861,-501.658,-0.0028728,0.0056392,-0.0124626,7.28467e-05,-9.52869e-05,2.93944e-05,7.78601e-05,-0.0001003,0.000154725,0.013978,2.68465,-17.0047,-503.874,-0.00327015,0.00592687,-0.0129699,3.18126e-05,-5.94414e-05,-5.9397e-06,3.22176e-05,-5.98464e-05,8.10009e-05,0.0146302,3.29601,-26.1456,-509.74,-0.00347644,0.0061102,-0.0120174,1.83719e-06,-4.65582e-05,6.34503e-06,3.16205e-06,-4.78831e-05,4.95448e-05,0.0139228
1214,3.97396,-1.17823,-506.765,-0.00178613,0.00422083,-0.0133658,0.00013315,0.000199934,-0.00031229,0.000481218,-0.000148134,0.000571419,0.0141312,2.16714,-3.11547,-497.141,-0.00196504,0.00472297,-0.0129941,0.000103812,2.80151e-05,-0.000132831,0.000204437,-7.26096e-05,0.000249617,0.0139649,2.44068,-10.3861,-501.658,-0.00296937,0.00565526,-0.011475,7.16603e-05,-0.000141359,8.18066e-06,7.19863e-05,-0.000141685,0.000188363,0.0131333,2.68465,-17.0047,-503.874,-0.00340187,0.00583222,-0.0118599,4.63477e-05,-3.98053e-05,5.33151e-06,4.6687e-05,-4.01446e-05,7.54562e-05,0.0136472,3.29601,-26.1456,-509.74,-0.0035539,0.00625915,-0.0102497,4.79511e-05,-1.37004e-06,4.26056e-05,7.27962e-05,-2.62152e-05,8.91183e-05,0.0125253
1215,3.97396,-1.17823,-506.765,-0.00198626,0.0040459,-0.0131647,0.0001248,0.000186157,-0.00032258,0.00048043,-0.000169473,0.000585234,0.0139171,2.16714,-3.11547,-497.141,-0.00215413,0.00465941,-0.012527,0.000107319,6.21122e-05,-0.000124685,0.000212087,-4.26565e-05,0.000237032,0.013538,2.44068,-10.3861,-501.658,-0.0030192,0.00564869,-0.0113341,7.72761e-05,-0.000159773,1.78835e-05,7.86545e-05,-0.000161151,0.000211796,0.0130193,2.68465,-17.0047,-503.874,-0.00329114,0.00572423,-0.012288,5.48893e-05,-5.70221e-05,-1.63831e-05,5.72725e-05,-5.94052e-05,0.000101336,0.0139497,3.29601,-26.1456,-509.74,-0.00366791,0.00622663,-0.0100194,8.16786e-06,-1.4024e-05,4.07029e-05,3.97301e-05,-4.55863e-05,7.41602e-05,0.0123539
1216,3.97396,-1.17823,-506.765,-0.00189037,0.00408761,-0.0127475,0.00010779,0.000133919,-0.00032855,0.000450497,-0.000208789,0.000584747,0.0135229,2.16714,-3.11547,-497.141,-0.00212832,0.00463197,-0.0112591,8.3463e-05,1.92786e-05,-0.000131897,0.000187568,-8.48266e-05,0.000242136,0.0123607,2.44068,-10.3861,-501.658,-0.00298308,0.0054085,-0.0108303,7.81405e-05,-8.93769e-05,1.38986e-05,7.92896e-05,-9.05259e-05,0.000147301,0.0124682,2.68465,-17.0047,-503.874,-0.0032987,0.00576775,-0.0117028,4.42756e-05,-7.65903e-05,1.30062e-06,4.43155e-05,-7.66303e-05,0.000106237,0.0134576,3.29601,-26.1456,-509.74,-0.00374779,0.00604741,-0.00991245,3.4435e-05,-1.0404e-05,8.34741e-05,9.85148e-05,-7.44838e-05,0.00015038,0.0122016
1217,3.97396,-1.17823,-506.765,-0.00193726,0.00386195,-0.0132576,0.00010473,0.000171807,-0.000329923,0.000470985,-0.000194448,0.00059411,0.013947,2.16714,-3.11547,-497.141,-0.00220745,0.00429843,-0.0121079,9.85791e-05,9.94385e-06,-0.000124986,0.000187831,-7.93077e-05,0.000238298,0.0130366,2.44068,-10.3861,-501.658,-0.00299787,0.00529392,-0.0102026,8.98849e-05,-0.000118225,1.14896e-05,9.05265e-05,-0.000118867,0.000182079,0.0118791,2.68465,-17.0047,-503.874,-0.0034894,0.00548326,-0.0119373,3.42824e-05,-7.72373e-05,-2.15871e-05,3.83363e-05,-8.12912e-05,0.000106137,0.0135922,3.29601,-26.1456,-509.74,-0.00373203,0.006129,-0.00998747,1.86703e-05,-2.10238e-06,1.89627e-05,3.02524e-05,-1.36845e-05,3.95759e-05,0.0122981
1218,3.97396,-1.17823,-506.765,-0.00203177,0.00380014,-0.0125764,0.000111526,0.000103509,-0.000327356,0.000435783,-0.000220748,0.000579934,0.0132953,2.16714,-3.11547,-497.141,-0.00224356,0.0041962,-0.0120716,9.24697e-05,-1.97367e-05,-0.00013884,0.00018659,-0.000113857,0.000263304,0.0129759,2.44068,-10.3861,-501.658,-0.0030832,0.00517828,-0.0104829,7.54446e-05,-0.000123275,-1.08889e-06,7.55152e-05,-0.000123345,0.000174015,0.0120923,2.68465,-17.0047,-503.874,-0.0033136,0.00544322,-0.0102275,6.21088e-05,-6.01007e-05,-1.74575e-05,6.45834e-05,-6.25754e-05,0.000110246,0.0120505,3.29601,-26.1456,-509.74,-0.00365583,0.0059582,-0.0105017,3.88576e-05,-1.10746e-05,4.17615e-05,6.25763e-05,-3.47932e-05,8.55286e-05,0.0126167
1219,3.97396,-1.17823,-506.765,-0.00221956,0.00332628,-0.0116486,0.000125706,0.000179452,-0.000308886,0.00046323,-0.000158072,0.000560794,0.0123181,2.16714,-3.11547,-497.141,-0.00226496,0.00390735,-0.0109087,8.73185e-05,5.82292e-05,-0.000122978,0.000196936,-5.13884e-05,0.000228096,0.011807,2.44068,-10.3861,-501.658,-0.00315932,0.0049023,-0.00996663,5.77933e-05,-0.000126415,7.47814e-06,5.8101e-05,-0.000126723,0.000163738,0.0115483,2.68465,-17.0047,-503.874,-0.00355641,0.00528118,-0.0111931,1.39372e-05,-9.49657e-05,-2.86982e-05,2.10585e-05,-0.000102087,0.00011419,0.0128775,3.29601,-26.1456,-509.74,-0.00371846,0.00566976,-0.0102935,5.36037e-05,6.97997e-06,3.49014e-05,7.22953e-05,-1.17116e-05,7.90281e-05,0.0123261
1220,3.97396,-1.17823,-506.765,-0.00215434,0.00313827,-0.0120852,0.000103842,0.000149826,-0.000316853,0.000445644,-0.000191976,0.000567563,0.0126714,2.16714,-3.11547,-497.141,-0.00219496,0.00362737,-0.0116968,8.7243e-05,8.11206e-06,-0.000115757,0.00017087,-7.55152e-05,0.000219191,0.0124418,2.44068,-10.3861,-501.658,-0.00318838,0.00488158,-0.0104847,7.85506e-05,-0.000110697,1.63131e-05,7.99705e-05,-0.000112117,0.000167206,0.0119971,2.68465,-17.0047,-503.874,-0.00345434,0.00521921,-0.0111991,1.99268e-05,-4.81675e-05,-3.98558e-05,3.83085e-05,-6.65492e-05,9.20807e-05,0.0128303,3.29601,-26.1456,-509.74,-0.00367981,0.00566412,-0.00887962,3.10049e-05,-3.22724e-05,4.59064e-05,5.53977e-05,-5.66652e-05,9.71886e-05,0.011157
1221,3.97396,-1.17823,-506.765,-0.00197051,0.00303512,-0.0113994,7.25668e-05,0.000170226,-0.000343523,0.000469106,-0.000226313,0.000615534,0.0119628,2.16714,-3.11547,-497.141,-0.00218349,0.00360903,-0.0108386,7.14608e-05,3.40708e-05,-0.000143862,0.000198482,-9.29509e-05,0.000258461,0.0116305,2.44068,-10.3861,-501.658,-0.00307542,0.00453533,-0.0101768,5.04035e-05,-0.000116561,1.48318e-05,5.17233e-05,-0.000117881,0.000150617,0.0115586,2.68465,-17.0047,-503.874,-0.00352656,0.00495118,-0.010418,3.66938e-05,-6.10061e-05,-7.36518e-06,3.72468e-05,-6.15592e-05,8.65607e-05,0.0120627,3.29601,-26.1456,-509.74,-0.00397053,0.00553865,-0.0096676,3.13111e-05,-5.05998e-05,4.23681e-05,4.9286e-05,-6.85747e-05,0.000102557,0.0118292
