"Average",,,,,,,,,,,"P0",,,,,,,,,,"P1",,,,,,,,,,"P2",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
108,66.0503,7.31066,-694.952,0.00301972,0.000192538,0.0037808,0.00526216,0.000371219,0.000253489,0.00155854,57.7388,10.3303,-695.125,0.00216404,0.000865021,0.00636699,0.00678119,0.000448192,0.000257162,0.00193791,57.9435,8.07444,-696.71,0.00305175,0.000639078,0.00137615,0.00350603,0.000346776,0.00021651,0.00149604,58.4098,5.4752,-698.512,0.00334136,0.000682057,-0.0001737,0.00343163,0.000284496,0.000189408,0.00121506
109,66.0805,7.30999,-694.944,0.00319127,0.000143385,0.00497398,0.00622535,0.000371005,0.000253527,0.00155726,57.7388,10.3303,-695.125,0.00272889,0.00113324,0.00381606,0.00483814,0.000448749,0.000258791,0.00194059,57.9435,8.07444,-696.71,0.00302081,0.000677551,0.00250399,0.00399908,0.000344624,0.00021644,0.00148699,58.4098,5.4752,-698.512,0.00324108,0.000531776,0.0014254,0.00359606,0.000284257,0.000186964,0.00121344
110,66.0805,7.30999,-694.944,0.00375845,0.000590323,0.0036002,0.00586331,0.000371761,0.000253745,0.00156053,57.7388,10.3303,-695.125,0.00299519,0.00104006,0.00631493,0.00707352,0.000449034,0.000260545,0.00194214,57.9435,8.07444,-696.71,0.00361413,0.000784708,0.00320616,0.00494475,0.000345806,0.000220027,0.0014926,58.4098,5.4752,-698.512,0.00404074,0.00102884,0.000248365,0.0042029,0.000286514,0.000188242,0.00122302
111,66.1036,7.30663,-694.94,0.0041818,0.000803177,0.00327332,0.00599117,0.000371524,0.000253325,0.00155885,57.7388,10.3303,-695.125,0.00276385,0.00126426,0.00734027,0.00794609,0.000449243,0.00025466,0.0019418,57.9435,8.07444,-696.71,0.00365334,0.00105935,0.00292925,0.00485173,0.000347102,0.000216093,0.00149731,58.4098,5.4752,-698.512,0.00450603,0.00122868,-0.00024976,0.00468758,0.000284564,0.000187339,0.00121479
112,66.0805,7.30999,-694.944,0.00448378,0.000900034,0.00323642,0.00618531,0.000373531,0.000255319,0.00156777,57.7388,10.3303,-695.125,0.00373782,0.00144043,0.00333956,0.00521777,0.000450073,0.000260377,0.00194648,57.9435,8.07444,-696.71,0.00431567,0.00123575,0.00175389,0.00484292,0.000351361,0.000219384,0.00151579,58.4098,5.4752,-698.512,0.0046956,0.00150436,0.000946816,0.00503454,0.000288756,0.000188926,0.00123238
113,66.18,7.30987,-694.916,0.00472959,0.000775934,0.00344284,0.00622393,0.000372587,0.000255063,0.00156319,57.7388,10.3303,-695.125,0.0037148,0.000996764,0.00490517,0.0062346,0.000446553,0.00026055,0.00193171,57.9435,8.07444,-696.71,0.00359463,0.000769139,0.00539155,0.00653097,0.000347969,0.000217314,0.00150117,58.4098,5.4752,-698.512,0.00437945,0.00100871,0.00264269,0.0052272,0.000287448,0.000188078,0.0012268
114,66.1568,7.31323,-694.92,0.00494618,0.000451895,0.00393655,0.0066118,0.000372638,0.000255905,0.00156381,57.7388,10.3303,-695.125,0.00441941,0.000646627,0.00379564,0.00586605,0.000447889,0.000260028,0.00193721,57.9435,8.07444,-696.71,0.00470587,0.000740535,0.0017133,0.00508243,0.000349225,0.000217054,0.0015064,58.4098,5.4752,-698.512,0.00527824,0.00109816,0.001077,0.00550833,0.00028614,0.000186335,0.00122098
115,66.18,7.30987,-694.916,0.0049145,3.61912e-05,0.00544307,0.00758643,0.00037246,0.000255591,0.00156272,57.7388,10.3303,-695.125,0.0041231,0.000739404,0.00639991,0.0076512,0.000444879,0.000257709,0.00192407,57.9435,8.07444,-696.71,0.00466143,0.000417205,0.00431796,0.00637404,0.000342335,0.000219295,0.00147791,58.4098,5.4752,-698.512,0.00490442,0.000251919,0.00410873,0.00641002,0.00028484,0.000190627,0.00121678
116,66.18,7.30987,-694.916,0.00515969,-0.00028116,0.00590407,0.00817158,0.000372967,0.000254607,0.0015644,57.7388,10.3303,-695.125,0.00440982,0.000343584,0.00685425,0.00815874,0.000446001,0.000258134,0.00192888,57.9435,8.07444,-696.71,0.00491842,2.87066e-05,0.00509999,0.00710686,0.000344465,0.000215104,0.00148606,58.4098,5.4752,-698.512,0.00572263,0.000255351,0.00140597,0.0059047,0.000285219,0.000187377,0.00121748
117,66.18,7.30987,-694.916,0.00518846,-0.00044762,0.00673215,0.00875404,0.000373134,0.000255795,0.00156545,57.7388,10.3303,-695.125,0.00453963,0.000374053,0.0061518,0.00765851,0.000445817,0.000259648,0.00192841,57.9435,8.07444,-696.71,0.00459347,-1.21905e-05,0.00673024,0.00815348,0.000349193,0.000221566,0.00150709,58.4098,5.4752,-698.512,0.00483153,-0.000276699,0.00628739,0.00794747,0.000290203,0.000191687,0.00123902
118,66.18,7.30987,-694.916,0.00563871,-0.000296708,0.00570259,0.00822576,0.000372814,0.000256058,0.00156395,57.7388,10.3303,-695.125,0.00450822,-0.000234618,0.00804547,0.00922712,0.000435033,0.000256906,0.00188251,57.9435,8.07444,-696.71,0.00541395,3.02301e-07,0.00395521,0.00671608,0.000342365,0.000217485,0.00147767,58.4098,5.4752,-698.512,0.00543406,0.000195793,0.00397458,0.00675109,0.000285522,0.000188829,0.0012191
119,66.18,7.30987,-694.916,0.00584617,3.24419e-05,0.00535793,0.00816136,0.000372715,0.000255461,0.00156306,57.7388,10.3303,-695.125,0.00449905,-1.48117e-05,0.00724071,0.0085297,0.000447212,0.00025912,0.00193416,57.9435,8.07444,-696.71,0.00555497,0.000408348,0.00205247,0.00596645,0.000347413,0.000220679,0.00149947,58.4098,5.4752,-698.512,0.00599803,0.000474103,0.00210404,0.00639165,0.000283461,0.000188403,0.00121054
120,66.1966,7.30455,-694.915,0.00624231,0.000288244,0.00415756,0.00775349,0.000371977,0.000255245,0.00156008,57.7388,10.3303,-695.125,0.00459332,-2.54004e-06,0.00795037,0.00918377,0.000446038,0.000257152,0.00192882,57.9435,8.07444,-696.71,0.00605004,0.000745929,0.0011496,0.00627046,0.000348824,0.000219266,0.00150511,58.4098,5.4752,-698.512,0.00650802,0.000981983,0.000202235,0.00661648,0.000290325,0.000190123,0.00123911
121,66.1966,7.30455,-694.915,0.00640361,0.000365881,0.00417389,0.00793724,0.000373624,0.00025622,0.00156694,57.7388,10.3303,-695.125,0.00565103,0.00021222,0.00446826,0.00720875,0.000441267,0.000261121,0.0019096,57.9435,8.07444,-696.71,0.00563915,0.000361961,0.00388501,0.00685831,0.000342893,0.000220044,0.00148037,58.4098,5.4752,-698.512,0.00604494,0.000630014,0.00308175,0.00682258,0.000286134,0.00018857,0.00122153
122,66.2098,7.30922,-694.908,0.00648771,0.000253576,0.00409281,0.00796485,0.000373632,0.000255456,0.00156703,57.7388,10.3303,-695.125,0.00526382,-0.000101082,0.0070896,0.008835,0.000451208,0.000257879,0.00195071,57.9435,8.07444,-696.71,0.00621462,0.000611633,0.00187295,0.00653726,0.000347723,0.000218631,0.00150039,58.4098,5.4752,-698.512,0.00647791,0.000831824,0.000927636,0.006617,0.000288759,0.000193568,0.0012336
123,66.2441,7.30836,-694.899,0.00642939,-0.000136577,0.00512117,0.00848238,0.000374517,0.000257383,0.00157072,57.7388,10.3303,-695.125,0.00508222,-0.000684422,0.00848906,0.00991863,0.000446205,0.000263344,0.00193081,57.9435,8.07444,-696.71,0.00616657,-3.20071e-05,0.00335996,0.00704677,0.000347334,0.000221593,0.00149929,58.4098,5.4752,-698.512,0.00649891,0.000179375,0.00261834,0.00702672,0.000291775,0.000192162,0.00124558
124,66.2265,7.30389,-694.907,0.00648213,-0.000578041,0.00606396,0.00907998,0.000374634,0.000257358,0.00157098,57.7388,10.3303,-695.125,0.00541185,-0.000393908,0.00570713,0.00787576,0.000445393,0.000262784,0.00192728,57.9435,8.07444,-696.71,0.00589551,-0.000222735,0.00483026,0.00763349,0.000346554,0.00022223,0.00149614,58.4098,5.4752,-698.512,0.00659638,4.18392e-05,0.00288172,0.00720935,0.000288558,0.000189792,0.00123178
125,66.2077,7.30705,-694.91,0.00652877,-0.000953719,0.00668311,0.00957157,0.000374237,0.000257273,0.00156956,57.7388,10.3303,-695.125,0.00487988,-0.000916176,0.0113173,0.0123619,0.000443748,0.000263625,0.00192054,57.9435,8.07444,-696.71,0.00589357,-0.000831491,0.00674209,0.00901446,0.000346449,0.000222176,0.00149569,58.4098,5.4752,-698.512,0.00661231,-0.000620149,0.0042577,0.00789468,0.000288024,0.000190606,0.0012298
126,66.2477,7.29909,-694.905,0.00663912,-0.00109516,0.00726281,0.0101344,0.00037406,0.000256069,0.00156841,57.7388,10.3303,-695.125,0.00521785,-0.00090353,0.00982953,0.011166,0.000449733,0.000263872,0.00194575,57.9435,8.07444,-696.71,0.00610054,-0.000823301,0.00662316,0.00905232,0.000350153,0.000222784,0.00151135,58.4098,5.4752,-698.512,0.00690796,-0.000978218,0.00497229,0.00856988,0.000290678,0.000191269,0.00124085
127,66.1966,7.30455,-694.915,0.00694063,-0.000932105,0.00672132,0.00995334,0.00037434,0.000255927,0.00157011,57.7388,10.3303,-695.125,0.0067301,-0.000193248,0.00521574,0.00852751,0.000450846,0.000259897,0.00194959,57.9435,8.07444,-696.71,0.00675051,-0.000429833,0.00438708,0.00806929,0.00034833,0.000221103,0.00150337,58.4098,5.4752,-698.512,0.00685998,-0.000688982,0.00541767,0.00877124,0.000291137,0.00019241,0.00124302
128,66.2337,7.30657,-694.903,0.00721562,-0.000648796,0.00591719,0.00959159,0.000375454,0.000257806,0.00157445,57.7388,10.3303,-695.125,0.00655926,-0.00030646,0.0050366,0.00827999,0.000453812,0.000261351,0.00196237,57.9435,8.07444,-696.71,0.00700419,-0.000359312,0.00321791,0.00773936,0.000349985,0.000220768,0.00151026,58.4098,5.4752,-698.512,0.00749827,-0.000355734,0.00236787,0.00789787,0.000291367,0.000191125,0.00124363
129,66.2682,7.3057,-694.894,0.00747927,-0.000424172,0.00620907,0.0100416,0.000375667,0.000258234,0.00157538,57.7388,10.3303,-695.125,0.00650307,5.28933e-05,0.00705031,0.00959741,0.000444747,0.000261559,0.0019243,57.9435,8.07444,-696.71,0.00762431,0.000183957,0.00267807,0.00811251,0.000349255,0.000221781,0.00150738,58.4098,5.4752,-698.512,0.00774636,0.000217405,0.00243507,0.00814446,0.000289583,0.000191585,0.00123644
130,66.2777,7.29844,-694.897,0.00776562,-1.15465e-05,0.00509747,0.00955538,0.000374609,0.00025784,0.00157017,57.7388,10.3303,-695.125,0.0066261,0.000487454,0.00567238,0.00873782,0.000451866,0.0002659,0.00195514,57.9435,8.07444,-696.71,0.00761073,0.000636569,0.00258036,0.00807339,0.000349412,0.000222578,0.0015082,58.4098,5.4752,-698.512,0.00779809,0.000498694,0.00273285,0.00829238,0.000286947,0.000189302,0.00122505
131,66.3616,7.30365,-694.869,0.00785715,-9.68262e-05,0.00558198,0.0100411,0.000375354,0.000258918,0.00157296,57.7388,10.3303,-695.125,0.00676243,-0.000144161,0.00686937,0.00964144,0.000451526,0.000265613,0.00195364,57.9435,8.07444,-696.71,0.00755526,-4.59857e-06,0.00282528,0.0080935,0.000353999,0.000227764,0.00152843,58.4098,5.4752,-698.512,0.00819443,0.000443715,0.00107164,0.00827969,0.000293685,0.000197988,0.00125493
132,66.3373,7.30631,-694.874,0.00795146,-0.000355308,0.00618599,0.0104028,0.000374891,0.000258798,0.00157157,57.7388,10.3303,-695.125,0.00744636,0.000206536,0.00589646,0.00950721,0.000449235,0.000260797,0.001943,57.9435,8.07444,-696.71,0.00806995,7.66158e-05,0.00300803,0.00862681,0.000347925,0.000219832,0.00150143,58.4098,5.4752,-698.512,0.00785875,0.000129213,0.00285974,0.00837843,0.000292084,0.000193459,0.00124718
133,66.2609,7.30302,-694.898,0.00800751,-0.000680089,0.00736347,0.0112993,0.000377109,0.000259756,0.00158101,57.7388,10.3303,-695.125,0.00737765,0.000311496,0.00604084,0.00955962,0.000453628,0.000264531,0.00196225,57.9435,8.07444,-696.71,0.00785453,-0.000258439,0.00373999,0.0087199,0.000354853,0.000223834,0.00153125,58.4098,5.4752,-698.512,0.0081092,-0.000495911,0.00361556,0.00889886,0.000293191,0.000193443,0.0012517
134,66.3073,7.30696,-694.882,0.00814464,-0.000928234,0.00815812,0.0117464,0.000376391,0.000259878,0.00157807,57.7388,10.3303,-695.125,0.00705019,-0.000286343,0.00921502,0.0116073,0.000450265,0.000264554,0.00194811,57.9435,8.07444,-696.71,0.00796623,-0.000466886,0.00611615,0.0100819,0.000353556,0.000226104,0.00152625,58.4098,5.4752,-698.512,0.00853664,-0.000646512,0.00503639,0.00994399,0.000295353,0.000199295,0.0012621
135,66.285,7.30036,-694.893,0.00803344,-0.00122476,0.00982732,0.0130334,0.000375491,0.000258682,0.001574,57.7388,10.3303,-695.125,0.00642612,-0.00070999,0.0113573,0.0130754,0.00044594,0.000264301,0.00192988,57.9435,8.07444,-696.71,0.00758045,-0.000955015,0.006896,0.0103302,0.000344466,0.000220827,0.0014871,58.4098,5.4752,-698.512,0.00833079,-0.000775962,0.00503228,0.00978476,0.000288137,0.000189535,0.00122998
136,66.2682,7.3057,-694.894,0.00838246,-0.00101366,0.00909115,0.0125933,0.000377652,0.000260428,0.00158329,57.7388,10.3303,-695.125,0.00697631,-0.000215568,0.00981374,0.0120456,0.000455418,0.000265003,0.00196987,57.9435,8.07444,-696.71,0.00777949,-0.000792102,0.00821267,0.0113481,0.000351192,0.00022464,0.00151605,58.4098,5.4752,-698.512,0.00828542,-0.00103188,0.00646772,0.0105646,0.000292734,0.000194538,0.00125012
137,66.231,7.30367,-694.906,0.00869211,-0.000770968,0.00887603,0.012633,0.000377093,0.00025913,0.00158165,57.7388,10.3303,-695.125,0.00815124,-0.000102953,0.00861445,0.011863,0.000450848,0.000263945,0.00195042,57.9435,8.07444,-696.71,0.00850656,-0.000352506,0.00668008,0.010833,0.00035247,0.000222015,0.00152091,58.4098,5.4752,-698.512,0.00888456,-0.000361414,0.00584835,0.0106467,0.000293859,0.000195303,0.00125492
138,66.3173,7.30193,-694.883,0.00904925,-0.000404229,0.00843944,0.0126071,0.000377029,0.000261309,0.00158045,57.7388,10.3303,-695.125,0.00813835,0.000142242,0.00808284,0.0114733,0.000444231,0.000261157,0.00192203,57.9435,8.07444,-696.71,0.00871327,-4.82582e-05,0.00596938,0.0105688,0.000345943,0.000220186,0.00149317,58.4098,5.4752,-698.512,0.00870096,-6.78859e-05,0.0067953,0.0110579,0.000289264,0.00019226,0.0012353
139,66.2978,7.30281,-694.888,0.00917786,-0.000358175,0.00852064,0.0127443,0.000378351,0.000261506,0.0015861,57.7388,10.3303,-695.125,0.00782414,-4.02043e-05,0.00743561,0.0108014,0.000453927,0.000264439,0.00196347,57.9435,8.07444,-696.71,0.00846684,-0.000241801,0.00681407,0.0108776,0.000353516,0.000224488,0.00152575,58.4098,5.4752,-698.512,0.00921882,0.000326501,0.00560559,0.0107979,0.000293877,0.000192927,0.00125437
140,66.3446,7.309,-694.87,0.00935021,-0.000343311,0.00856202,0.0129022,0.000377005,0.000259997,0.0015803,57.7388,10.3303,-695.125,0.00811074,-0.000220861,0.00954608,0.0125365,0.000445662,0.000261459,0.0019281,57.9435,8.07444,-696.71,0.00853321,-0.000210929,0.00752785,0.0114066,0.000347094,0.000222686,0.00149847,58.4098,5.4752,-698.512,0.00929706,0.00023634,0.00516287,0.0106425,0.000291923,0.000196099,0.00124721
141,66.3314,7.3043,-694.877,0.00949413,-0.000726804,0.00938798,0.0135912,0.000377066,0.00026086,0.00158055,57.7388,10.3303,-695.125,0.00839785,-0.000297278,0.00902597,0.0123324,0.000448076,0.000263967,0.00193877,57.9435,8.07444,-696.71,0.00886676,-0.000454373,0.00736726,0.0115444,0.000349426,0.000226063,0.0015089,58.4098,5.4752,-698.512,0.00938359,-0.000310465,0.00745616,0.0119958,0.000292801,0.000197179,0.00125108
142,66.3246,7.30385,-694.879,0.00929173,-0.00128336,0.0115202,0.0149539,0.000378916,0.000261664,0.00158838,57.7388,10.3303,-695.125,0.00766414,-0.00113032,0.0150071,0.0168898,0.000447763,0.000266026,0.00193789,57.9435,8.07444,-696.71,0.00867808,-0.00129955,0.0113382,0.0143437,0.000350363,0.000228332,0.00151326,58.4098,5.4752,-698.512,0.00901438,-0.00124024,0.0109782,0.014262,0.000294585,0.000198789,0.00125881
143,66.2777,7.29844,-694.897,0.00942152,-0.00169376,0.0121173,0.0155639,0.000379139,0.00026248,0.00158957,57.7388,10.3303,-695.125,0.00848639,-0.00095027,0.0122826,0.014963,0.000447469,0.000261472,0.00193568,57.9435,8.07444,-696.71,0.00878229,-0.00109663,0.010289,0.0135752,0.00034838,0.00022286,0.00150389,58.4098,5.4752,-698.512,0.00906724,-0.00117289,0.0108876,0.0142187,0.000290433,0.000195348,0.00124089
144,66.3373,7.30631,-694.874,0.00950276,-0.00194322,0.0131175,0.0163927,0.000379263,0.000262257,0.00158977,57.7388,10.3303,-695.125,0.00802138,-0.00156441,0.0152121,0.0172693,0.000453723,0.000261472,0.00196198,57.9435,8.07444,-696.71,0.00882971,-0.0014743,0.0111947,0.0143438,0.000352541,0.000224679,0.0015217,58.4098,5.4752,-698.512,0.0097247,-0.00147515,0.00932435,0.0135542,0.000293638,0.000196765,0.00125439
145,66.3616,7.30365,-694.869,0.00951086,-0.0020343,0.0135039,0.0167437,0.000380075,0.000263784,0.00159296,57.7388,10.3303,-695.125,0.00778718,-0.00192106,0.0171395,0.018924,0.000459781,0.00026597,0.00198838,57.9435,8.07444,-696.71,0.00898229,-0.0015785,0.0109876,0.0142911,0.000361169,0.00022839,0.0015586,58.4098,5.4752,-698.512,0.00944532,-0.00163838,0.00994325,0.0138144,0.000295194,0.000198102,0.00126112
146,66.3415,7.29926,-694.878,0.00970652,-0.00183724,0.0129131,0.0164166,0.000379965,0.000262428,0.00159224,57.7388,10.3303,-695.125,0.00806651,-0.00215969,0.0192865,0.0210175,0.000452802,0.000265727,0.00195898,57.9435,8.07444,-696.71,0.00888686,-0.00151845,0.0134693,0.0162184,0.000351109,0.000223856,0.00151553,58.4098,5.4752,-698.512,0.00948318,-0.00144023,0.0109101,0.0145306,0.000291242,0.000192931,0.00124357
147,66.3785,7.29904,-694.868,0.00998268,-0.00149521,0.0123297,0.0160704,0.000379316,0.000262527,0.00158956,57.7388,10.3303,-695.125,0.00821635,-0.00181222,0.0164363,0.018466,0.000448491,0.000263565,0.00194041,57.9435,8.07444,-696.71,0.00943995,-0.00107088,0.0120689,0.0153728,0.000351462,0.000226308,0.00151746,58.4098,5.4752,-698.512,0.0103569,-0.000724401,0.00864921,0.0135138,0.000296779,0.00020053,0.00126825
148,66.3785,7.29904,-694.868,0.0100825,-0.00127993,0.011674,0.015637,0.000380581,0.000263266,0.00159473,57.7388,10.3303,-695.125,0.00809008,-0.00166329,0.0164464,0.018404,0.00045265,0.000264265,0.00195804,57.9435,8.07444,-696.71,0.00908657,-0.00123866,0.0129409,0.0158701,0.000356373,0.000227183,0.00153824,58.4098,5.4752,-698.512,0.010021,-0.000991971,0.0101584,0.0143072,0.000299049,0.000201718,0.00127786
149,66.3785,7.29904,-694.868,0.00991478,-0.00125665,0.011741,0.0155467,0.000380186,0.000263251,0.00159305,57.7388,10.3303,-695.125,0.00881033,-0.00159939,0.0130346,0.0158147,0.000451826,0.000268193,0.00195542,57.9435,8.07444,-696.71,0.00958249,-0.00121993,0.0102667,0.0141077,0.000354376,0.000228578,0.00153013,58.4098,5.4752,-698.512,0.0101471,-0.000720658,0.00835708,0.0131753,0.000296107,0.000198453,0.00126495
150,66.4178,7.30026,-694.856,0.00977607,-0.00154375,0.0125164,0.0160649,0.000380612,0.000264093,0.00159451,57.7388,10.3303,-695.125,0.00838174,-0.0015559,0.0155474,0.0177329,0.00045135,0.000261684,0.00195204,57.9435,8.07444,-696.71,0.00948118,-0.00102794,0.0106782,0.0143235,0.000354608,0.00022364,0.00153018,58.4098,5.4752,-698.512,0.0103498,-0.000887413,0.00879951,0.0136148,0.000295721,0.000197125,0.00126301
151,66.4178,7.30026,-694.856,0.00957733,-0.00180154,0.0126488,0.0160662,0.000379541,0.000262905,0.00159003,57.7388,10.3303,-695.125,0.00814934,-0.00198226,0.0159387,0.0180128,0.000451977,0.000269489,0.00195633,57.9435,8.07444,-696.71,0.00850324,-0.00175302,0.0134524,0.0160201,0.000354222,0.000226978,0.00152919,58.4098,5.4752,-698.512,0.00933432,-0.00156038,0.0104089,0.0140688,0.000294365,0.000197964,0.00125769
152,66.3785,7.29904,-694.868,0.0095693,-0.00205374,0.0126953,0.0161309,0.000379651,0.000263569,0.00159092,57.7388,10.3303,-695.125,0.00762388,-0.0021445,0.0161393,0.0179781,0.000451648,0.000264372,0.00195386,57.9435,8.07444,-696.71,0.00851799,-0.00184838,0.0116764,0.0145827,0.000353347,0.000225817,0.00152529,58.4098,5.4752,-698.512,0.00932918,-0.00166796,0.0095698,0.0134734,0.000296015,0.000199684,0.0012649
153,66.3785,7.29904,-694.868,0.00925754,-0.0022458,0.0132391,0.0164151,0.000378829,0.000262524,0.00158792,57.7388,10.3303,-695.125,0.00739626,-0.00204726,0.0168001,0.0184707,0.000451357,0.000268887,0.00195359,57.9435,8.07444,-696.71,0.00822418,-0.00190285,0.0131771,0.0156557,0.000353795,0.000228534,0.00152768,58.4098,5.4752,-698.512,0.00911091,-0.0019653,0.0103988,0.0139679,0.000294248,0.000198618,0.00125739
154,66.3785,7.29904,-694.868,0.00915822,-0.00210651,0.0122181,0.0155632,0.000377949,0.000261433,0.00158376,57.7388,10.3303,-695.125,0.00798146,-0.0015614,0.013744,0.0159715,0.000454542,0.000264418,0.00196605,57.9435,8.07444,-696.71,0.00923742,-0.00146947,0.00814064,0.0124168,0.000354958,0.000226495,0.00153219,58.4098,5.4752,-698.512,0.00955043,-0.00167123,0.00787214,0.0124952,0.000294427,0.000197323,0.00125777
155,66.3785,7.29904,-694.868,0.00912274,-0.00178746,0.011071,0.0146125,0.000380215,0.000263517,0.00159333,57.7388,10.3303,-695.125,0.00718,-0.00171427,0.0153818,0.0170615,0.000448283,0.000264818,0.00193981,57.9435,8.07444,-696.71,0.00816248,-0.00143368,0.0116237,0.0142885,0.000348805,0.00022718,0.00150652,58.4098,5.4752,-698.512,0.00929467,-0.00132722,0.0080376,0.0123603,0.000292568,0.000196432,0.00124993
156,66.3616,7.30365,-694.869,0.00897942,-0.00144,0.0103271,0.0139322,0.000378814,0.000260963,0.00158744,57.7388,10.3303,-695.125,0.00680925,-0.00172923,0.0153859,0.0169158,0.000457743,0.000264131,0.00197944,57.9435,8.07444,-696.71,0.00775599,-0.00160643,0.0115388,0.014015,0.000354725,0.000225086,0.00153095,58.4098,5.4752,-698.512,0.00896778,-0.000979854,0.00748881,0.0117284,0.000293796,0.000196498,0.00125497
157,66.4008,7.30487,-694.857,0.00876985,-0.00111445,0.00931168,0.0130096,0.00037838,0.000261325,0.00158565,57.7388,10.3303,-695.125,0.00722188,-0.00102786,0.0116648,0.0137605,0.000449645,0.000265725,0.00194575,57.9435,8.07444,-696.71,0.0075079,-0.00134823,0.0110113,0.0134077,0.000352998,0.000223224,0.00152334,58.4098,5.4752,-698.512,0.00865849,-0.000870525,0.00713002,0.0112603,0.000295035,0.000195244,0.00125972
158,66.3785,7.29904,-694.868,0.00855852,-0.00101386,0.00886678,0.012571,0.000376672,0.000260631,0.00157854,57.7388,10.3303,-695.125,0.00725017,-0.00124204,0.0116036,0.0137426,0.000453236,0.000264072,0.00196049,57.9435,8.07444,-696.71,0.0076259,-0.00133551,0.00930073,0.0121116,0.000349063,0.000223929,0.00150699,58.4098,5.4752,-698.512,0.00849533,-0.000667836,0.00647395,0.0107127,0.000287576,0.000193407,0.0012287
159,66.3785,7.29904,-694.868,0.00806591,-0.00120568,0.00922281,0.0124568,0.000376302,0.000260268,0.00157714,57.7388,10.3303,-695.125,0.00693038,-0.00118015,0.00972913,0.0120034,0.000442264,0.000263029,0.00191416,57.9435,8.07444,-696.71,0.00713268,-0.000958289,0.00802007,0.0107821,0.000344472,0.000220613,0.00148708,58.4098,5.4752,-698.512,0.00780026,-0.000608453,0.00623272,0.0100071,0.000292801,0.000194844,0.00125047
160,66.4178,7.30026,-694.856,0.00755432,-0.00155543,0.00994527,0.012714,0.000376103,0.000259486,0.00157589,57.7388,10.3303,-695.125,0.00604254,-0.00108405,0.0111046,0.0126901,0.000451321,0.00026069,0.00195175,57.9435,8.07444,-696.71,0.00645245,-0.0012029,0.0101212,0.0120707,0.000352364,0.000223534,0.00152077,58.4098,5.4752,-698.512,0.00725679,-0.00114767,0.00808063,0.0109232,0.000291567,0.00019542,0.00124557
161,66.3785,7.29904,-694.868,0.0071416,-0.00197334,0.0106152,0.0130811,0.000376156,0.000259482,0.00157637,57.7388,10.3303,-695.125,0.00547109,-0.00166539,0.0148854,0.0159464,0.000446533,0.000263539,0.00193221,57.9435,8.07444,-696.71,0.00648516,-0.00160882,0.010937,0.0128285,0.000350447,0.000222577,0.00151252,58.4098,5.4752,-698.512,0.00716161,-0.00148491,0.00890772,0.0115263,0.000292329,0.000192904,0.00124803
162,66.4008,7.30487,-694.857,0.00688227,-0.00221126,0.0102966,0.0126997,0.000375405,0.00025902,0.00157309,57.7388,10.3303,-695.125,0.00548636,-0.0017214,0.0132009,0.0143989,0.000447738,0.000262746,0.00193711,57.9435,8.07444,-696.71,0.00578797,-0.00190911,0.0116961,0.0131939,0.000349163,0.00022361,0.00150735,58.4098,5.4752,-698.512,0.00631329,-0.00192392,0.00891893,0.0110974,0.000290465,0.000193188,0.00124047
163,66.3542,7.30172,-694.873,0.00664449,-0.00215691,0.00956393,0.0119966,0.000376435,0.000258901,0.00157751,57.7388,10.3303,-695.125,0.00557888,-0.00135789,0.0112823,0.012663,0.000454191,0.000263299,0.00196436,57.9435,8.07444,-696.71,0.0060618,-0.00149941,0.00832652,0.01042,0.000355204,0.000224524,0.00153287,58.4098,5.4752,-698.512,0.00666465,-0.00164652,0.00526898,0.00865759,0.000292692,0.000195217,0.00125013
164,66.3785,7.29904,-694.868,0.00643302,-0.00188785,0.00825267,0.0107684,0.000375644,0.000259009,0.00157406,57.7388,10.3303,-695.125,0.00530779,-0.00120934,0.00887745,0.0104154,0.000446416,0.000263939,0.00193182,57.9435,8.07444,-696.71,0.00553409,-0.00161356,0.00746635,0.00943433,0.000344559,0.000220713,0.00148749,58.4098,5.4752,-698.512,0.00602431,-0.00164308,0.00684432,0.00926618,0.000286546,0.000191332,0.00122394
165,66.3785,7.29904,-694.868,0.00599353,-0.00172121,0.00828901,0.0105705,0.000373939,0.000257827,0.00156712,57.7388,10.3303,-695.125,0.00516982,-0.00136136,0.00887158,0.0103612,0.00044728,0.00026104,0.00193484,57.9435,8.07444,-696.71,0.00547496,-0.00126861,0.00661078,0.00868751,0.000346631,0.000219732,0.001496,58.4098,5.4752,-698.512,0.00573662,-0.00104218,0.00577681,0.00821505,0.000287911,0.000190033,0.00122919
