"Average",,,,,,,,,,,"P0",,,,,,,,,,"P1",,,,,,,,,,"P2",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
12,66.1189,7.31274,-694.931,0.00263442,0.00052863,0.000281484,0.00362368,0.000371853,0.00025493,0.00156055,57.7388,10.3303,-695.125,0.00198609,0.000539187,0.00189492,0.00280741,0.000446753,0.000261158,0.0019327,57.9435,8.07444,-696.71,0.00224763,0.0006327,0.000956849,0.00257467,0.000343073,0.000218088,0.0014808,58.4098,5.4752,-698.512,0.00243102,0.00087757,-0.000318523,0.00262945,0.000281423,0.000186857,0.00120181
13,66.18,7.30987,-694.916,0.00282014,0.00028837,0.000245736,0.00380079,0.000370437,0.00025299,0.00155375,57.7388,10.3303,-695.125,0.00173772,0.000768196,0.00084289,0.00211246,0.000445377,0.000257092,0.00192607,57.9435,8.07444,-696.71,0.00270396,0.000370118,-0.00182012,0.00328531,0.000343044,0.000216267,0.00148034,58.4098,5.4752,-698.512,0.00324227,0.000545016,-0.00181277,0.00376422,0.000284855,0.000187345,0.00121599
14,66.142,7.30937,-694.927,0.00319355,2.18055e-05,-0.000493394,0.00401374,0.000371407,0.000252861,0.00155847,57.7388,10.3303,-695.125,0.00227198,0.000628776,0.00207223,0.003142,0.000449019,0.000256948,0.00194135,57.9435,8.07444,-696.71,0.00269386,0.000323356,-0.000574794,0.0028304,0.000346851,0.000217268,0.00149649,58.4098,5.4752,-698.512,0.00328854,0.000406484,-0.00300952,0.00447705,0.000285991,0.000186798,0.00122051
15,66.1568,7.31323,-694.92,0.00341324,-0.000316326,-0.000286176,0.00421669,0.000370796,0.000253854,0.00155573,57.7388,10.3303,-695.125,0.00210743,0.000198869,0.00269502,0.00343166,0.000442706,0.000263824,0.00191625,57.9435,8.07444,-696.71,0.00307467,-2.63047e-05,8.17602e-05,0.00311947,0.000342175,0.000220854,0.00147753,58.4098,5.4752,-698.512,0.00363961,-7.37288e-05,-0.00185751,0.00409811,0.000285184,0.00018722,0.00121731
16,66.1734,7.30792,-694.919,0.00338924,-0.00072248,0.000951568,0.00449765,0.000371622,0.000254568,0.00155893,57.7388,10.3303,-695.125,0.00251884,7.02737e-07,0.00167702,0.00303364,0.000448885,0.000256865,0.00194077,57.9435,8.07444,-696.71,0.0032591,-0.000315039,-0.00130522,0.00358454,0.000345145,0.000215567,0.00148901,58.4098,5.4752,-698.512,0.00414534,-0.00019015,-0.00403536,0.0057946,0.000285861,0.000187168,0.00122007
17,66.1568,7.31323,-694.92,0.00354534,-0.000706281,0.00182257,0.00463777,0.000372451,0.000254621,0.00156268,57.7388,10.3303,-695.125,0.00340277,0.000223362,0.0011147,0.0036026,0.000449477,0.000264765,0.0019449,57.9435,8.07444,-696.71,0.00372842,-0.00027562,-0.000996386,0.00388818,0.000349548,0.000220558,0.00150842,58.4098,5.4752,-698.512,0.00390125,-0.000470441,-0.000587749,0.00399372,0.000285779,0.00018695,0.00121967
18,66.1568,7.31323,-694.92,0.00356319,-0.000627111,0.00257872,0.00486322,0.000370664,0.000254811,0.00155533,57.7388,10.3303,-695.125,0.00287541,4.93431e-05,0.00472844,0.00554173,0.000446199,0.000260621,0.00193024,57.9435,8.07444,-696.71,0.00343299,-0.000325212,0.0012169,0.00373483,0.000345182,0.00022069,0.00149012,58.4098,5.4752,-698.512,0.00386279,-0.000358688,-0.0011738,0.00406862,0.000286152,0.000188529,0.00122161
19,66.18,7.30987,-694.916,0.00372379,-0.000284503,0.00277252,0.00529294,0.000371832,0.000254504,0.00155985,57.7388,10.3303,-695.125,0.00255518,4.67877e-05,0.0051221,0.00572984,0.000450225,0.000256698,0.00194636,57.9435,8.07444,-696.71,0.00303728,-8.61434e-05,0.00181608,0.00356898,0.000342869,0.000214804,0.00147932,58.4098,5.4752,-698.512,0.00368755,2.51901e-05,0.000531657,0.0037618,0.000283235,0.000185069,0.00120876
20,66.142,7.30937,-694.927,0.00401394,1.52823e-05,0.00207538,0.00501059,0.00037091,0.000253936,0.00155639,57.7388,10.3303,-695.125,0.00320028,0.000576364,0.00259425,0.00416492,0.000444064,0.000257054,0.00192052,57.9435,8.07444,-696.71,0.00354805,0.000358441,0.000278473,0.00364602,0.000344525,0.000218375,0.00148693,58.4098,5.4752,-698.512,0.00428332,0.000635396,-0.00172393,0.00467198,0.00028587,0.000187353,0.00122015
21,66.1734,7.30792,-694.919,0.00415397,1.14849e-05,0.00191944,0.00521244,0.000371554,0.000254575,0.00155902,57.7388,10.3303,-695.125,0.00412478,0.000627329,0.000942916,0.00428353,0.000446768,0.000264278,0.00193341,57.9435,8.07444,-696.71,0.00463898,0.000674241,-0.00144241,0.00491662,0.000344449,0.000222055,0.00148731,58.4098,5.4752,-698.512,0.00477275,0.000745034,-0.00209188,0.00528054,0.000283207,0.000185453,0.00120874
