"Average",,,,,,,,"P0",,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement"
37,3.84839,2.93288,-505.844,0.000154598,-0.00079478,-0.00262786,0.00275254,4.033,3.03709,-505.638,0.000193246,-0.000838292,-0.00276209,0.00289361
38,3.84839,2.93288,-505.844,0.000349215,-0.000888547,-0.00296121,0.00311514,4.033,3.03709,-505.638,0.000360259,-0.000930309,-0.00291226,0.00307958
39,3.84839,2.93288,-505.844,0.000148996,-0.000716013,-0.00273096,0.00283545,4.033,3.03709,-505.638,0.000144452,-0.000745134,-0.00273635,0.00284095
40,3.84839,2.93288,-505.844,5.00326e-05,-0.000588207,-0.00358864,0.00364056,4.033,3.03709,-505.638,7.363e-05,-0.000604083,-0.00340212,0.00345706
41,3.84839,2.93288,-505.844,9.01786e-05,-0.000473768,-0.00365865,0.003691,4.033,3.03709,-505.638,9.92411e-05,-0.00049914,-0.00376849,0.00380288
42,3.84839,2.93288,-505.844,9.89783e-05,-0.000202876,-0.00407421,0.00408418,4.033,3.03709,-505.638,0.000129464,-0.000219767,-0.00397567,0.00398458
43,3.84839,2.93288,-505.844,-0.000124165,6.62032e-05,-0.00444821,0.00445178,4.033,3.03709,-505.638,-0.000109128,3.21997e-05,-0.00437628,0.00437797
44,3.84839,2.93288,-505.844,-0.000144814,0.000454932,-0.00421392,0.00424524,4.033,3.03709,-505.638,-7.35201e-05,0.00045223,-0.00402675,0.0040535
45,3.84839,2.93288,-505.844,-0.000129543,0.000825666,-0.00504508,0.00511603,4.033,3.03709,-505.638,-0.000121413,0.000823777,-0.0052374,0.00530357
46,3.84839,2.93288,-505.844,-0.000363989,0.00149125,-0.00544362,0.00565873,4.033,3.03709,-505.638,-0.000309053,0.00147185,-0.00532786,0.00553667
47,3.84839,2.93288,-505.844,-0.000508679,0.00193372,-0.00554916,0.00590389,4.033,3.03709,-505.638,-0.000479385,0.00193671,-0.00535879,0.00571907
48,3.84839,2.93288,-505.844,-0.000698443,0.00238932,-0.0057078,0.00623293,4.033,3.03709,-505.638,-0.000668604,0.00238673,-0.00583782,0.00634299
49,3.84839,2.93288,-505.844,-0.000962744,0.00303112,-0.00671362,0.00743034,4.033,3.03709,-505.638,-0.000925097,0.00304415,-0.00677912,0.00748894
50,3.84839,2.93288,-505.844,-0.0010828,0.0037477,-0.0069384,0.00796149,4.033,3.03709,-505.638,-0.00104684,0.00375487,-0.00689276,0.00791905
51,3.84839,2.93288,-505.844,-0.00130767,0.00418407,-0.00711575,0.00836429,4.033,3.03709,-505.638,-0.00126815,0.00419235,-0.00688453,0.00816107
52,3.84839,2.93288,-505.844,-0.00153934,0.00493674,-0.00721046,0.00888157,4.033,3.03709,-505.638,-0.00153232,0.00497145,-0.00708743,0.00879318
53,3.84839,2.93288,-505.844,-0.00177718,0.00543762,-0.00814774,0.00995725,4.033,3.03709,-505.638,-0.00174717,0.00547685,-0.00815515,0.00997799
54,3.84839,2.93288,-505.844,-0.00198407,0.00601504,-0.00865839,0.0107307,4.033,3.03709,-505.638,-0.00198212,0.00606127,-0.00869993,0.0107879
55,3.84839,2.93288,-505.844,-0.00219173,0.00654286,-0.00901646,0.0113556,4.033,3.03709,-505.638,-0.00219228,0.00657483,-0.00914122,0.0114718
56,3.84839,2.93288,-505.844,-0.00250509,0.006746,-0.00944829,0.0118776,4.033,3.03709,-505.638,-0.00248473,0.00677116,-0.00953899,0.0119592
57,3.84839,2.93288,-505.844,-0.00256775,0.00721076,-0.0106349,0.0131085,4.033,3.03709,-505.638,-0.00252995,0.00723854,-0.0103952,0.0129185
58,3.84839,2.93288,-505.844,-0.00288472,0.00766436,-0.0109073,0.0136429,4.033,3.03709,-505.638,-0.00283255,0.00770649,-0.010728,0.01351
59,3.84839,2.93288,-505.844,-0.00307578,0.00777049,-0.0114244,0.0141595,4.033,3.03709,-505.638,-0.00304687,0.00781507,-0.0114021,0.0141561
60,3.84839,2.93288,-505.844,-0.00322702,0.00805868,-0.0124915,0.015214,4.033,3.03709,-505.638,-0.00321129,0.00808027,-0.0123709,0.0151216
61,3.84839,2.93288,-505.844,-0.0034063,0.00823514,-0.0124078,0.0152791,4.033,3.03709,-505.638,-0.00335548,0.00827733,-0.0122371,0.0151504
62,3.84839,2.93288,-505.844,-0.00358531,0.008337,-0.0125454,0.015486,4.033,3.03709,-505.638,-0.00353344,0.00834549,-0.0127607,0.0156517
63,3.84839,2.93288,-505.844,-0.00360765,0.00836196,-0.0135909,0.0163605,4.033,3.03709,-505.638,-0.00360297,0.00836667,-0.0136328,0.0163964
64,3.84839,2.93288,-505.844,-0.00382344,0.00853011,-0.0142412,0.0170374,4.033,3.03709,-505.638,-0.00382517,0.00852856,-0.0144853,0.0172397
65,3.84839,2.93288,-505.844,-0.00372151,0.00870652,-0.0143785,0.0172186,4.033,3.03709,-505.638,-0.00368942,0.00870871,-0.0145067,0.017318
66,3.84839,2.93288,-505.844,-0.00391725,0.00879263,-0.0141996,0.017156,4.033,3.03709,-505.638,-0.00388638,0.00880102,-0.0143942,0.0173137
67,3.84839,2.93288,-505.844,-0.0039309,0.00888887,-0.0151976,0.0180416,4.033,3.03709,-505.638,-0.00389393,0.00889383,-0.01535,0.0181631
68,3.84839,2.93288,-505.844,-0.00402464,0.00894845,-0.0155963,0.0184288,4.033,3.03709,-505.638,-0.00396787,0.00895679,-0.0156728,0.0184833
69,3.84839,2.93288,-505.844,-0.00403148,0.00913335,-0.0161002,0.0189483,4.033,3.03709,-505.638,-0.00399765,0.00912309,-0.0163015,0.0191044
70,3.84839,2.93288,-505.844,-0.00397984,0.00922062,-0.0158618,0.0187767,4.033,3.03709,-505.638,-0.0039646,0.00918216,-0.0161812,0.019023
71,3.84839,2.93288,-505.844,-0.00397819,0.00928007,-0.0158123,0.0187641,4.033,3.03709,-505.638,-0.00395253,0.00926189,-0.0159227,0.0188403
72,3.84839,2.93288,-505.844,-0.00390698,0.00939372,-0.0160152,0.0189772,4.033,3.03709,-505.638,-0.00387942,0.00934058,-0.0162102,0.0191074
73,3.84839,2.93288,-505.844,-0.00384734,0.00955428,-0.0162148,0.0192122,4.033,3.03709,-505.638,-0.00381589,0.00955871,-0.0163182,0.0192934
74,3.84839,2.93288,-505.844,-0.00376266,0.00972505,-0.0158746,0.0189952,4.033,3.03709,-505.638,-0.00372122,0.00969788,-0.0158255,0.0189304
75,3.84839,2.93288,-505.844,-0.00371257,0.00981805,-0.0167273,0.0197528,4.033,3.03709,-505.638,-0.00366627,0.00981829,-0.0168322,0.0198295
76,3.84839,2.93288,-505.844,-0.00365472,0.00990139,-0.0159019,0.0190915,4.033,3.03709,-505.638,-0.00361864,0.00988697,-0.0161266,0.0192601
77,3.84839,2.93288,-505.844,-0.00356029,0.00986097,-0.016167,0.0192725,4.033,3.03709,-505.638,-0.00351857,0.00982312,-0.0164191,0.0194547
78,3.84839,2.93288,-505.844,-0.003512,0.0098681,-0.0154309,0.0186559,4.033,3.03709,-505.638,-0.00347786,0.00985584,-0.0155832,0.0187647
79,3.84839,2.93288,-505.844,-0.00338169,0.00969094,-0.0152508,0.0183863,4.033,3.03709,-505.638,-0.00333835,0.00969568,-0.0154231,0.0185215
80,3.84839,2.93288,-505.844,-0.0032599,0.00949848,-0.0156016,0.0185586,4.033,3.03709,-505.638,-0.00320997,0.00944927,-0.0159438,0.0188101
81,3.84839,2.93288,-505.844,-0.00310272,0.00919735,-0.0148208,0.0177188,4.033,3.03709,-505.638,-0.0030865,0.0091653,-0.0149339,0.0177924
82,3.84839,2.93288,-505.844,-0.00315467,0.00909721,-0.0150776,0.0178956,4.033,3.03709,-505.638,-0.00312973,0.00907166,-0.0153509,0.0181047
83,3.84839,2.93288,-505.844,-0.00308892,0.00856077,-0.0151355,0.0176675,4.033,3.03709,-505.638,-0.00306907,0.00857418,-0.0155456,0.0180179
84,3.84839,2.93288,-505.844,-0.00304874,0.00817712,-0.0142182,0.0166892,4.033,3.03709,-505.638,-0.0030194,0.00816338,-0.0145915,0.0169912
85,3.84839,2.93288,-505.844,-0.00306217,0.00787966,-0.0129938,0.0155059,4.033,3.03709,-505.638,-0.00303179,0.00786335,-0.0130475,0.0155335
86,3.84839,2.93288,-505.844,-0.00287761,0.00737747,-0.0129839,0.0152127,4.033,3.03709,-505.638,-0.0028388,0.00737534,-0.0133592,0.0155225
87,3.84839,2.93288,-505.844,-0.00297088,0.00684821,-0.0127609,0.0147882,4.033,3.03709,-505.638,-0.00293208,0.00684678,-0.0128287,0.014835
88,3.84839,2.93288,-505.844,-0.00303242,0.00635203,-0.0111555,0.0131951,4.033,3.03709,-505.638,-0.00298475,0.00633519,-0.0114004,0.0133802
89,3.84839,2.93288,-505.844,-0.00292588,0.00592642,-0.0111165,0.0129373,4.033,3.03709,-505.638,-0.00287729,0.00595265,-0.0112683,0.0130657
90,3.84839,2.93288,-505.844,-0.00312895,0.00531826,-0.0103651,0.0120724,4.033,3.03709,-505.638,-0.00311451,0.00531277,-0.0107172,0.012362
91,3.84839,2.93288,-505.844,-0.00318209,0.0049478,-0.00972915,0.0113794,4.033,3.03709,-505.638,-0.00317331,0.00493923,-0.0101279,0.011708
92,3.84839,2.93288,-505.844,-0.00312615,0.00432437,-0.0090687,0.0105363,4.033,3.03709,-505.638,-0.00311369,0.00428081,-0.00946562,0.0108474
93,3.84839,2.93288,-505.844,-0.00325489,0.00399067,-0.00803363,0.00955609,4.033,3.03709,-505.638,-0.00323546,0.00395032,-0.00816162,0.00962974
94,3.84839,2.93288,-505.844,-0.00319561,0.00338313,-0.00766517,0.00898284,4.033,3.03709,-505.638,-0.00319515,0.00335188,-0.0079709,0.00922156
95,3.84839,2.93288,-505.844,-0.00343339,0.00297708,-0.00719309,0.0085243,4.033,3.03709,-505.638,-0.00340798,0.0029574,-0.00721745,0.00851544
96,3.84839,2.93288,-505.844,-0.00359357,0.00246961,-0.0060846,0.00750718,4.033,3.03709,-505.638,-0.00357226,0.00244803,-0.00640508,0.00773509
97,3.84839,2.93288,-505.844,-0.00372785,0.001978,-0.00520699,0.00673269,4.033,3.03709,-505.638,-0.00373089,0.00193466,-0.00549356,0.0069221
98,3.84839,2.93288,-505.844,-0.00378817,0.00145897,-0.00435736,0.00596514,4.033,3.03709,-505.638,-0.00374929,0.00144136,-0.00447433,0.00601509
99,3.84839,2.93288,-505.844,-0.00380111,0.00102926,-0.0036599,0.00543913,4.033,3.03709,-505.638,-0.00377895,0.00104431,-0.00408573,0.00567189
100,3.84839,2.93288,-505.844,-0.00398208,0.000658351,-0.00240617,0.00474169,4.033,3.03709,-505.638,-0.0039546,0.000644634,-0.00263675,0.00480479
101,3.84839,2.93288,-505.844,-0.00395633,0.000198697,-0.00191679,0.00442946,4.033,3.03709,-505.638,-0.00396461,0.00020202,-0.00213353,0.00451318
102,3.84839,2.93288,-505.844,-0.00400897,-0.000158554,-0.00148558,0.00439895,4.033,3.03709,-505.638,-0.00400418,-0.000143881,-0.00170897,0.00437932
103,3.84839,2.93288,-505.844,-0.00407483,-0.000351067,0.000105806,0.00414625,4.033,3.03709,-505.638,-0.0040631,-0.000347355,-5.70934e-05,0.00408861
104,3.84839,2.93288,-505.844,-0.00418881,-0.000753141,-0.000548064,0.00436475,4.033,3.03709,-505.638,-0.00412933,-0.000707082,-0.000704102,0.00427032
105,3.84839,2.93288,-505.844,-0.00420777,-0.00103007,0.00125595,0.00453472,4.033,3.03709,-505.638,-0.00421238,-0.00101223,0.00106925,0.00446729
106,3.84839,2.93288,-505.844,-0.00427464,-0.00139298,0.0014112,0.0047476,4.033,3.03709,-505.638,-0.00425632,-0.00134067,0.00121828,0.00463567
107,3.84839,2.93288,-505.844,-0.00407485,-0.00181292,0.00219003,0.00498339,4.033,3.03709,-505.638,-0.0040088,-0.00180527,0.00214055,0.00489321
108,3.84839,2.93288,-505.844,-0.00408311,-0.00202942,0.00226091,0.00514986,4.033,3.03709,-505.638,-0.00404366,-0.00199859,0.00182819,0.00487851
109,3.84839,2.93288,-505.844,-0.00395859,-0.00236378,0.00259211,0.00530719,4.033,3.03709,-505.638,-0.00394066,-0.00233738,0.00244928,0.00519883
110,3.84839,2.93288,-505.844,-0.00384559,-0.00262889,0.0036012,0.0059153,4.033,3.03709,-505.638,-0.00383951,-0.00264272,0.00337148,0.00575803
111,3.84839,2.93288,-505.844,-0.00368472,-0.00284597,0.0035326,0.00586374,4.033,3.03709,-505.638,-0.00366825,-0.00279771,0.00327199,0.00565876
