"Average",,,,,,,,"P0",,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement"
972,3.84839,2.93288,-505.844,-0.00946556,0.0025824,-0.0121002,0.015587,4.033,3.03709,-505.638,-0.00979844,0.00261129,-0.0120361,0.0157395
973,3.84839,2.93288,-505.844,-0.00957047,0.00261622,-0.0124398,0.0159218,4.033,3.03709,-505.638,-0.00991899,0.0026672,-0.0123876,0.0160933
974,3.84839,2.93288,-505.844,-0.00973654,0.0027375,-0.012469,0.0160685,4.033,3.03709,-505.638,-0.0100922,0.00279543,-0.0125322,0.016334
975,3.84839,2.93288,-505.844,-0.00982814,0.00281581,-0.0123004,0.0160093,4.033,3.03709,-505.638,-0.0101852,0.00285931,-0.0122365,0.0161777
976,3.84839,2.93288,-505.844,-0.01001,0.00313139,-0.01201,0.0159574,4.033,3.03709,-505.638,-0.0103187,0.00319379,-0.0120643,0.0161953
977,3.84839,2.93288,-505.844,-0.0102087,0.00314644,-0.0114037,0.0156336,4.033,3.03709,-505.638,-0.0105568,0.00318124,-0.0116746,0.0160593
978,3.84839,2.93288,-505.844,-0.010242,0.00355486,-0.0111686,0.0155691,4.033,3.03709,-505.638,-0.0105774,0.00362931,-0.0112204,0.0158419
979,3.84839,2.93288,-505.844,-0.0104441,0.0039258,-0.0115529,0.0160631,4.033,3.03709,-505.638,-0.010786,0.00399632,-0.011699,0.0164067
980,3.84839,2.93288,-505.844,-0.0104217,0.00431696,-0.0114879,0.016108,4.033,3.03709,-505.638,-0.0107757,0.00439295,-0.0115535,0.0163991
981,3.84839,2.93288,-505.844,-0.0105098,0.00454787,-0.0117717,0.0164291,4.033,3.03709,-505.638,-0.0108854,0.00462726,-0.0117919,0.0167024
982,3.84839,2.93288,-505.844,-0.010585,0.00485036,-0.0116303,0.0164651,4.033,3.03709,-505.638,-0.0109662,0.00495332,-0.0117004,0.016785
983,3.84839,2.93288,-505.844,-0.0106675,0.00522261,-0.0119635,0.0168626,4.033,3.03709,-505.638,-0.01104,0.00530821,-0.0121556,0.0172578
984,3.84839,2.93288,-505.844,-0.0105901,0.00543385,-0.0121179,0.0169932,4.033,3.03709,-505.638,-0.0109728,0.00553978,-0.0121771,0.0173034
985,3.84839,2.93288,-505.844,-0.0105354,0.00552631,-0.0112764,0.0163986,4.033,3.03709,-505.638,-0.0108589,0.0055953,-0.0112843,0.016631
986,3.84839,2.93288,-505.844,-0.010612,0.00576796,-0.011591,0.0167438,4.033,3.03709,-505.638,-0.0109495,0.0058913,-0.0116604,0.0170462
987,3.84839,2.93288,-505.844,-0.0106454,0.00579814,-0.0112064,0.0165114,4.033,3.03709,-505.638,-0.0110265,0.00588638,-0.0112966,0.0168478
988,3.84839,2.93288,-505.844,-0.01052,0.00581723,-0.011668,0.0167618,4.033,3.03709,-505.638,-0.010897,0.00588924,-0.0116297,0.0169918
989,3.84839,2.93288,-505.844,-0.0104159,0.00561691,-0.0116444,0.0166111,4.033,3.03709,-505.638,-0.0108079,0.00570699,-0.0118748,0.0170422
990,3.84839,2.93288,-505.844,-0.0103201,0.00552171,-0.0111987,0.0162074,4.033,3.03709,-505.638,-0.0106944,0.00561225,-0.0114372,0.0166352
991,3.84839,2.93288,-505.844,-0.0102583,0.00540906,-0.0113153,0.0162166,4.033,3.03709,-505.638,-0.0106292,0.00550981,-0.011271,0.0164451
992,3.84839,2.93288,-505.844,-0.0101275,0.00522068,-0.0108979,0.0157754,4.033,3.03709,-505.638,-0.0105029,0.00530367,-0.0109218,0.016055
993,3.84839,2.93288,-505.844,-0.010216,0.00483635,-0.0106309,0.015523,4.033,3.03709,-505.638,-0.0105695,0.004917,-0.0107046,0.0158271
994,3.84839,2.93288,-505.844,-0.0100866,0.00462591,-0.0107957,0.0154865,4.033,3.03709,-505.638,-0.0104417,0.00470567,-0.0109821,0.0158683
995,3.84839,2.93288,-505.844,-0.0100463,0.00415317,-0.010869,0.015384,4.033,3.03709,-505.638,-0.0103762,0.00422038,-0.0108693,0.01561
996,3.84839,2.93288,-505.844,-0.0099731,0.00380556,-0.0101537,0.0147419,4.033,3.03709,-505.638,-0.0103173,0.00383592,-0.010137,0.0149654
997,3.84839,2.93288,-505.844,-0.00982709,0.00332624,-0.00968356,0.014201,4.033,3.03709,-505.638,-0.0102081,0.00340734,-0.00967857,0.0144748
998,3.84839,2.93288,-505.844,-0.00993036,0.0030131,-0.00910414,0.0138117,4.033,3.03709,-505.638,-0.0103018,0.0031035,-0.00906487,0.0140695
999,3.84839,2.93288,-505.844,-0.00987372,0.00260179,-0.00908081,0.0136768,4.033,3.03709,-505.638,-0.0102514,0.00263097,-0.00897615,0.0138793
1000,3.84839,2.93288,-505.844,-0.00975592,0.00216121,-0.00896467,0.0134429,4.033,3.03709,-505.638,-0.0100938,0.00221173,-0.008823,0.0135907
1001,3.84839,2.93288,-505.844,-0.00967971,0.00173039,-0.00830397,0.0128771,4.033,3.03709,-505.638,-0.0100981,0.0017872,-0.00853809,0.0133453
1002,3.84839,2.93288,-505.844,-0.00974243,0.00140865,-0.00768306,0.0125009,4.033,3.03709,-505.638,-0.0101147,0.00147147,-0.00757413,0.0127237
1003,3.84839,2.93288,-505.844,-0.00968354,0.00112033,-0.0072761,0.0121771,4.033,3.03709,-505.638,-0.0100619,0.00115997,-0.00713971,0.0123939
1004,3.84839,2.93288,-505.844,-0.0096157,0.00081422,-0.00666781,0.0117353,4.033,3.03709,-505.638,-0.00998188,0.00088286,-0.0069297,0.0121845
1005,3.84839,2.93288,-505.844,-0.00962099,0.000489101,-0.00638466,0.0115732,4.033,3.03709,-505.638,-0.0100015,0.000540644,-0.00639214,0.0118852
1006,3.84839,2.93288,-505.844,-0.00949063,0.000267328,-0.00602972,0.011255,4.033,3.03709,-505.638,-0.00981264,0.000323593,-0.00615588,0.0115901
1007,3.84839,2.93288,-505.844,-0.00944395,0.000258536,-0.00495701,0.0106801,4.033,3.03709,-505.638,-0.0097972,0.000284736,-0.00482475,0.0109259
1008,3.84839,2.93288,-505.844,-0.00950023,0.000107117,-0.00384288,0.0102623,4.033,3.03709,-505.638,-0.00985039,0.000188263,-0.00369054,0.0105223
1009,3.84839,2.93288,-505.844,-0.00933472,-9.61697e-05,-0.00426426,0.0102756,4.033,3.03709,-505.638,-0.00971262,-1.90652e-05,-0.00417899,0.0105761
1010,3.84839,2.93288,-505.844,-0.00933266,-0.000126979,-0.00368684,0.010063,4.033,3.03709,-505.638,-0.00968882,-6.39047e-05,-0.00345114,0.0102897
1011,3.84839,2.93288,-505.844,-0.0091903,-0.000178465,-0.00318759,0.0097391,4.033,3.03709,-505.638,-0.00956221,-9.53468e-05,-0.00318017,0.010079
1012,3.84839,2.93288,-505.844,-0.00919473,-0.000150607,-0.00303844,0.00971108,4.033,3.03709,-505.638,-0.00956962,-0.000103376,-0.00288166,0.00999922
1013,3.84839,2.93288,-505.844,-0.00918797,-0.000197423,-0.00208932,0.00942741,4.033,3.03709,-505.638,-0.00956297,-0.000127114,-0.00217411,0.00980796
1014,3.84839,2.93288,-505.844,-0.00905899,-0.000260287,-0.00128973,0.00917829,4.033,3.03709,-505.638,-0.00942404,-0.000181267,-0.00114069,0.00949906
1015,3.84839,2.93288,-505.844,-0.00886627,-0.000327919,-0.00174473,0.00905509,4.033,3.03709,-505.638,-0.00921322,-0.00024203,-0.00175018,0.00938504
1016,3.84839,2.93288,-505.844,-0.0088996,-0.000469877,-0.00101363,0.00898061,4.033,3.03709,-505.638,-0.00925064,-0.000369767,-0.000927886,0.0093068
1017,3.84839,2.93288,-505.844,-0.00862096,-0.000545158,-0.000457382,0.00866378,4.033,3.03709,-505.638,-0.00898309,-0.000450848,-0.00037017,0.00900544
1018,3.84839,2.93288,-505.844,-0.00870926,-0.000663452,-0.000282065,0.00874525,4.033,3.03709,-505.638,-0.00907,-0.000597291,-0.000310589,0.00909622
1019,3.84839,2.93288,-505.844,-0.00848953,-0.000833238,-0.000117928,0.0085739,4.033,3.03709,-505.638,-0.00883947,-0.000739526,0.000221172,0.00887959
1020,3.84839,2.93288,-505.844,-0.00838406,-0.0010023,-0.000270401,0.00849194,4.033,3.03709,-505.638,-0.0087468,-0.000926307,-5.69038e-05,0.00880446
1021,3.84839,2.93288,-505.844,-0.00825324,-0.00128791,0.000450256,0.00838478,4.033,3.03709,-505.638,-0.00860322,-0.00119582,0.000700297,0.00871765
1022,3.84839,2.93288,-505.844,-0.00833233,-0.00161054,0.00061539,0.00853556,4.033,3.03709,-505.638,-0.00869352,-0.00151786,0.000758912,0.00886369
1023,3.84839,2.93288,-505.844,-0.00823338,-0.00200044,0.000961734,0.00854336,4.033,3.03709,-505.638,-0.00861581,-0.00192576,0.000982744,0.00888598
1024,3.84839,2.93288,-505.844,-0.00805819,-0.00238306,0.000867339,0.00846992,4.033,3.03709,-505.638,-0.00842822,-0.00229867,0.000946149,0.00879022
1025,3.84839,2.93288,-505.844,-0.00800986,-0.00272702,0.000806953,0.00851319,4.033,3.03709,-505.638,-0.00837373,-0.00263211,0.000811036,0.00881835
1026,3.84839,2.93288,-505.844,-0.00786704,-0.00308861,0.000750911,0.00850418,4.033,3.03709,-505.638,-0.00820341,-0.00301531,0.000829747,0.00878348
1027,3.84839,2.93288,-505.844,-0.00777112,-0.00347659,0.0013775,0.00865206,4.033,3.03709,-505.638,-0.0081569,-0.00341509,0.00165342,0.00900182
1028,3.84839,2.93288,-505.844,-0.00769997,-0.0037392,0.000854246,0.00862827,4.033,3.03709,-505.638,-0.00804621,-0.00368228,0.000915225,0.00890122
1029,3.84839,2.93288,-505.844,-0.00764363,-0.00407174,0.001271,0.00878241,4.033,3.03709,-505.638,-0.00802623,-0.00402908,0.00141392,0.0090979
1030,3.84839,2.93288,-505.844,-0.00770799,-0.00432878,0.00164735,0.00900699,4.033,3.03709,-505.638,-0.00808741,-0.00427269,0.00164921,0.00929616
1031,3.84839,2.93288,-505.844,-0.00764109,-0.00450691,0.00192352,0.00911107,4.033,3.03709,-505.638,-0.00802657,-0.00443636,0.00213218,0.00942145
1032,3.84839,2.93288,-505.844,-0.00761467,-0.00468088,0.00106581,0.00902067,4.033,3.03709,-505.638,-0.00798902,-0.00465083,0.00122065,0.00932848
1033,3.84839,2.93288,-505.844,-0.00757791,-0.00489562,0.00195987,0.00924766,4.033,3.03709,-505.638,-0.00792686,-0.00483337,0.00195197,0.0094892
1034,3.84839,2.93288,-505.844,-0.00768739,-0.00498659,0.00164956,0.00932158,4.033,3.03709,-505.638,-0.00803557,-0.00494985,0.00171322,0.00959355
1035,3.84839,2.93288,-505.844,-0.00761702,-0.00481623,0.00135764,0.00912854,4.033,3.03709,-505.638,-0.00799537,-0.00475339,0.00148893,0.00942191
1036,3.84839,2.93288,-505.844,-0.0075707,-0.00470701,0.00190769,0.00913571,4.033,3.03709,-505.638,-0.0079279,-0.00462966,0.0019409,0.00938673
1037,3.84839,2.93288,-505.844,-0.00764015,-0.00445208,0.00193593,0.00906689,4.033,3.03709,-505.638,-0.00796909,-0.00436125,0.00207284,0.0093202
1038,3.84839,2.93288,-505.844,-0.00767028,-0.00394199,0.00161412,0.00878907,4.033,3.03709,-505.638,-0.00805616,-0.00388154,0.00164128,0.00909376
1039,3.84839,2.93288,-505.844,-0.0077389,-0.00383542,0.00175457,0.00883045,4.033,3.03709,-505.638,-0.00812011,-0.00376485,0.00182731,0.00913778
1040,3.84839,2.93288,-505.844,-0.00772726,-0.00335004,0.00110071,0.00852987,4.033,3.03709,-505.638,-0.00811914,-0.00328524,0.00127352,0.00885618
1041,3.84839,2.93288,-505.844,-0.00772563,-0.0030373,0.00114051,0.00839014,4.033,3.03709,-505.638,-0.00806334,-0.00296807,0.0010126,0.00865334
1042,3.84839,2.93288,-505.844,-0.007732,-0.00254004,0.000960995,0.00820634,4.033,3.03709,-505.638,-0.00808752,-0.00246287,0.000947838,0.00850875
1043,3.84839,2.93288,-505.844,-0.00755944,-0.00222136,0.00119965,0.00800473,4.033,3.03709,-505.638,-0.00788374,-0.0021506,0.00143295,0.008303
1044,3.84839,2.93288,-505.844,-0.00749462,-0.00176028,0.00098129,0.00777899,4.033,3.03709,-505.638,-0.00784635,-0.00164,0.00112642,0.00809767
1045,3.84839,2.93288,-505.844,-0.00753842,-0.00142396,0.00019971,0.00769126,4.033,3.03709,-505.638,-0.00785408,-0.00136033,0.000304804,0.00798063
1046,3.84839,2.93288,-505.844,-0.00741319,-0.00112769,6.69701e-05,0.00752273,4.033,3.03709,-505.638,-0.00776785,-0.00104447,0.00015759,0.00784399
1047,3.84839,2.93288,-505.844,-0.0072617,-0.000772832,0.000213888,0.00731955,4.033,3.03709,-505.638,-0.00763408,-0.000678069,0.000304343,0.00767243
1048,3.84839,2.93288,-505.844,-0.00731494,-0.000542157,-0.000801985,0.00739337,4.033,3.03709,-505.638,-0.00769341,-0.000483839,-0.000807178,0.00775488
1049,3.84839,2.93288,-505.844,-0.00722318,-0.000307805,-0.000741471,0.00728918,4.033,3.03709,-505.638,-0.00756867,-0.000231094,-0.000625287,0.00760356
1050,3.84839,2.93288,-505.844,-0.00706018,-0.000275815,-0.00105636,0.00716664,4.033,3.03709,-505.638,-0.00741744,-0.000155489,-0.000965212,0.0074866
1051,3.84839,2.93288,-505.844,-0.00705534,-9.69288e-05,-0.00164949,0.0072607,4.033,3.03709,-505.638,-0.00739804,-1.53103e-05,-0.00162549,0.00757818
1052,3.84839,2.93288,-505.844,-0.00691013,-7.62982e-05,-0.0018639,0.00716724,4.033,3.03709,-505.638,-0.00724533,1.04242e-05,-0.00185285,0.00748004
1053,3.84839,2.93288,-505.844,-0.00679998,-5.67117e-05,-0.00167098,0.00700702,4.033,3.03709,-505.638,-0.00716043,4.43758e-05,-0.0016592,0.00735039
1054,3.84839,2.93288,-505.844,-0.00655402,-5.69279e-05,-0.00271029,0.00710352,4.033,3.03709,-505.638,-0.00695389,3.04981e-05,-0.00266999,0.00745026
1055,3.84839,2.93288,-505.844,-0.00647993,0.000133901,-0.00331558,0.00728919,4.033,3.03709,-505.638,-0.00683185,0.000203418,-0.00339265,0.00763206
1056,3.84839,2.93288,-505.844,-0.00666196,0.000129995,-0.00379644,0.00768213,4.033,3.03709,-505.638,-0.00704849,0.000197535,-0.00383954,0.00803083
1057,3.84839,2.93288,-505.844,-0.00668708,0.000256742,-0.00456398,0.00812885,4.033,3.03709,-505.638,-0.00704615,0.000343131,-0.00452307,0.0083844
1058,3.84839,2.93288,-505.844,-0.00666372,0.000170654,-0.00464813,0.00814207,4.033,3.03709,-505.638,-0.0070111,0.000259522,-0.0047196,0.00845801
1059,3.84839,2.93288,-505.844,-0.00666561,0.000272182,-0.00508129,0.00840135,4.033,3.03709,-505.638,-0.00700924,0.000321019,-0.00498853,0.00861121
1060,3.84839,2.93288,-505.844,-0.00670483,0.000286046,-0.00545339,0.00866458,4.033,3.03709,-505.638,-0.00702366,0.000358008,-0.00545435,0.00890256
1061,3.84839,2.93288,-505.844,-0.00679617,0.000538043,-0.0057992,0.00896228,4.033,3.03709,-505.638,-0.00715727,0.000598621,-0.00569066,0.00916464
1062,3.84839,2.93288,-505.844,-0.00697365,0.000639467,-0.00582045,0.00911337,4.033,3.03709,-505.638,-0.00731383,0.000674812,-0.00578673,0.00935123
1063,3.84839,2.93288,-505.844,-0.00705348,0.000895999,-0.00690577,0.00993869,4.033,3.03709,-505.638,-0.00739278,0.000937949,-0.00665129,0.00999292
1064,3.84839,2.93288,-505.844,-0.00722618,0.00112725,-0.00699722,0.0101355,4.033,3.03709,-505.638,-0.00759451,0.00118772,-0.0068893,0.0103239
1065,3.84839,2.93288,-505.844,-0.00743097,0.00153035,-0.00719083,0.010466,4.033,3.03709,-505.638,-0.00781856,0.00157742,-0.00717998,0.0107338
1066,3.84839,2.93288,-505.844,-0.0074912,0.0018041,-0.00761446,0.0108478,4.033,3.03709,-505.638,-0.0078723,0.00187903,-0.0074608,0.0110095
1067,3.84839,2.93288,-505.844,-0.00771226,0.00209182,-0.00819751,0.0114609,4.033,3.03709,-505.638,-0.0080586,0.00212697,-0.00813062,0.0116455
1068,3.84839,2.93288,-505.844,-0.00800369,0.00240958,-0.00908541,0.0123577,4.033,3.03709,-505.638,-0.00836262,0.00247902,-0.00906169,0.0125793
1069,3.84839,2.93288,-505.844,-0.00822387,0.00284396,-0.00869179,0.0123085,4.033,3.03709,-505.638,-0.00855391,0.00289735,-0.00856611,0.0124487
1070,3.84839,2.93288,-505.844,-0.00826357,0.00318176,-0.00875151,0.0124556,4.033,3.03709,-505.638,-0.00860888,0.00326574,-0.00880279,0.0127388
1071,3.84839,2.93288,-505.844,-0.00838774,0.00344211,-0.00914524,0.0128826,4.033,3.03709,-505.638,-0.00874422,0.00353557,-0.0093004,0.0132464
1072,3.84839,2.93288,-505.844,-0.00841828,0.00387203,-0.00939281,0.013203,4.033,3.03709,-505.638,-0.00878304,0.00396486,-0.00927629,0.0133764
1073,3.84839,2.93288,-505.844,-0.00848763,0.00405946,-0.00997273,0.013724,4.033,3.03709,-505.638,-0.00886256,0.00415835,-0.00985597,0.0138939
1074,3.84839,2.93288,-505.844,-0.00866509,0.0043624,-0.0106516,0.01442,4.033,3.03709,-505.638,-0.00901111,0.00441897,-0.0104489,0.0144897
1075,3.84839,2.93288,-505.844,-0.00878398,0.00452297,-0.0109661,0.014772,4.033,3.03709,-505.638,-0.00914562,0.00463234,-0.0107845,0.0148806
1076,3.84839,2.93288,-505.844,-0.0088446,0.00483979,-0.0112373,0.0151124,4.033,3.03709,-505.638,-0.00921923,0.0049377,-0.0110134,0.0151895
1077,3.84839,2.93288,-505.844,-0.00907227,0.00496462,-0.0111516,0.0152174,4.033,3.03709,-505.638,-0.00940968,0.00505235,-0.011057,0.0153739
1078,3.84839,2.93288,-505.844,-0.00904212,0.00492014,-0.0120338,0.0158447,4.033,3.03709,-505.638,-0.0094307,0.00503529,-0.0120561,0.0161147
1079,3.84839,2.93288,-505.844,-0.00922825,0.00500417,-0.0118158,0.0158166,4.033,3.03709,-505.638,-0.00955951,0.00512589,-0.0116885,0.0159475
1080,3.84839,2.93288,-505.844,-0.00927598,0.0050323,-0.0119569,0.0159569,4.033,3.03709,-505.638,-0.00964608,0.00511921,-0.0120259,0.0162454
1081,3.84839,2.93288,-505.844,-0.0091545,0.00486762,-0.0119973,0.0158616,4.033,3.03709,-505.638,-0.00952691,0.00496325,-0.0120231,0.0161233
1082,3.84839,2.93288,-505.844,-0.00916807,0.00494108,-0.0127583,0.0164837,4.033,3.03709,-505.638,-0.00953888,0.00502893,-0.0126192,0.0166012
1083,3.84839,2.93288,-505.844,-0.00930816,0.00477291,-0.013393,0.01701,4.033,3.03709,-505.638,-0.00966929,0.00485174,-0.0132596,0.0171158
1084,3.84839,2.93288,-505.844,-0.00944274,0.00466579,-0.0134015,0.0170578,4.033,3.03709,-505.638,-0.00980597,0.00474384,-0.0131772,0.0170986
1085,3.84839,2.93288,-505.844,-0.00953239,0.00452944,-0.0135183,0.0171571,4.033,3.03709,-505.638,-0.00988167,0.00461231,-0.0135007,0.0173555
1086,3.84839,2.93288,-505.844,-0.00968712,0.00428982,-0.0133431,0.0170513,4.033,3.03709,-505.638,-0.0100531,0.00434097,-0.0130937,0.0170709
1087,3.84839,2.93288,-505.844,-0.00975353,0.00408789,-0.0135013,0.0171599,4.033,3.03709,-505.638,-0.0101013,0.00412834,-0.0133714,0.0172605
1088,3.84839,2.93288,-505.844,-0.00979776,0.00386349,-0.0130179,0.0167553,4.033,3.03709,-505.638,-0.010162,0.00393467,-0.0128441,0.0168451
1089,3.84839,2.93288,-505.844,-0.00994488,0.00360222,-0.0135081,0.017164,4.033,3.03709,-505.638,-0.0103379,0.00367061,-0.0134824,0.0173826
1090,3.84839,2.93288,-505.844,-0.00992348,0.00355282,-0.0133474,0.0170148,4.033,3.03709,-505.638,-0.0102679,0.00358007,-0.0132239,0.0171213
1091,3.84839,2.93288,-505.844,-0.0101112,0.00340654,-0.0133965,0.0171399,4.033,3.03709,-505.638,-0.0104591,0.00346204,-0.0131191,0.0171331
1092,3.84839,2.93288,-505.844,-0.0101787,0.00328868,-0.0134362,0.0171796,4.033,3.03709,-505.638,-0.0105441,0.00335355,-0.01352,0.0174711
1093,3.84839,2.93288,-505.844,-0.0102598,0.00343481,-0.0134634,0.0172789,4.033,3.03709,-505.638,-0.010616,0.00348466,-0.0134374,0.0174767
1094,3.84839,2.93288,-505.844,-0.0102834,0.00335838,-0.0131565,0.0170384,4.033,3.03709,-505.638,-0.0106303,0.00345532,-0.0131721,0.0172762
1095,3.84839,2.93288,-505.844,-0.0104106,0.00335495,-0.0131935,0.017148,4.033,3.03709,-505.638,-0.0107804,0.00340456,-0.013129,0.0173272
1096,3.84839,2.93288,-505.844,-0.0106593,0.00342632,-0.0139903,0.01793,4.033,3.03709,-505.638,-0.0110356,0.00348545,-0.0138894,0.0180808
1097,3.84839,2.93288,-505.844,-0.0105923,0.00352717,-0.0130974,0.0172195,4.033,3.03709,-505.638,-0.0109378,0.00356005,-0.0129153,0.0172961
1098,3.84839,2.93288,-505.844,-0.010731,0.00376588,-0.0131049,0.0173583,4.033,3.03709,-505.638,-0.0111038,0.00381822,-0.0131114,0.0176016
1099,3.84839,2.93288,-505.844,-0.0108117,0.00378874,-0.0130613,0.0173797,4.033,3.03709,-505.638,-0.0111637,0.00385463,-0.013045,0.0175979
1100,3.84839,2.93288,-505.844,-0.0106679,0.00395124,-0.0129709,0.0172636,4.033,3.03709,-505.638,-0.0110402,0.00405426,-0.012854,0.0174243
1101,3.84839,2.93288,-505.844,-0.0106815,0.00407365,-0.0128386,0.017198,4.033,3.03709,-505.638,-0.0110467,0.00416025,-0.0127547,0.0173795
1102,3.84839,2.93288,-505.844,-0.0107221,0.00426695,-0.0123978,0.0169504,4.033,3.03709,-505.638,-0.0110781,0.00437142,-0.0122235,0.0170682
1103,3.84839,2.93288,-505.844,-0.0106509,0.00446706,-0.0126919,0.0171682,4.033,3.03709,-505.638,-0.0109815,0.00455503,-0.0125727,0.0173043
1104,3.84839,2.93288,-505.844,-0.0106546,0.00451798,-0.0128207,0.0172802,4.033,3.03709,-505.638,-0.0110161,0.00458294,-0.0126943,0.0174223
1105,3.84839,2.93288,-505.844,-0.0106033,0.00443315,-0.0123499,0.0168868,4.033,3.03709,-505.638,-0.0109271,0.00455792,-0.0120441,0.0168917
1106,3.84839,2.93288,-505.844,-0.0104988,0.0045215,-0.0122107,0.0167343,4.033,3.03709,-505.638,-0.0108658,0.00460367,-0.0121219,0.0169182
1107,3.84839,2.93288,-505.844,-0.0104486,0.00437212,-0.0126112,0.0169596,4.033,3.03709,-505.638,-0.0108032,0.00444673,-0.0126259,0.0172031
1108,3.84839,2.93288,-505.844,-0.0103271,0.00429402,-0.0115017,0.016051,4.033,3.03709,-505.638,-0.0106711,0.00435492,-0.0113495,0.0161766
1109,3.84839,2.93288,-505.844,-0.0102982,0.00418127,-0.011801,0.0162226,4.033,3.03709,-505.638,-0.0106318,0.0042604,-0.0115841,0.0162918
1110,3.84839,2.93288,-505.844,-0.0100584,0.0039847,-0.0109581,0.0154059,4.033,3.03709,-505.638,-0.0104113,0.0040334,-0.0107774,0.0155187
1111,3.84839,2.93288,-505.844,-0.00995047,0.00380919,-0.0116489,0.0158005,4.033,3.03709,-505.638,-0.0103289,0.00388621,-0.0114497,0.0159042
1112,3.84839,2.93288,-505.844,-0.00991628,0.00351308,-0.0115133,0.0156096,4.033,3.03709,-505.638,-0.0102727,0.00359304,-0.0113367,0.0157169
1113,3.84839,2.93288,-505.844,-0.00988378,0.0031979,-0.0104282,0.0147309,4.033,3.03709,-505.638,-0.0102727,0.00328286,-0.0101888,0.0148375
1114,3.84839,2.93288,-505.844,-0.00973447,0.00298052,-0.0110819,0.0150636,4.033,3.03709,-505.638,-0.0101132,0.00305255,-0.010787,0.0151002
1115,3.84839,2.93288,-505.844,-0.0097288,0.00266477,-0.010554,0.0146095,4.033,3.03709,-505.638,-0.0100778,0.00272827,-0.0103885,0.0147298
1116,3.84839,2.93288,-505.844,-0.00967862,0.00230783,-0.0101991,0.0142633,4.033,3.03709,-505.638,-0.0100417,0.00235192,-0.00997488,0.0143499
1117,3.84839,2.93288,-505.844,-0.00953014,0.00204566,-0.00937966,0.0135399,4.033,3.03709,-505.638,-0.0098662,0.00211096,-0.00916891,0.0136348
1118,3.84839,2.93288,-505.844,-0.00944392,0.00179192,-0.0099109,0.0138154,4.033,3.03709,-505.638,-0.00979463,0.00187315,-0.00984317,0.0140128
1119,3.84839,2.93288,-505.844,-0.00932866,0.00160793,-0.0092265,0.0132257,4.033,3.03709,-505.638,-0.00968372,0.00164289,-0.00925848,0.0134986
1120,3.84839,2.93288,-505.844,-0.00937611,0.00150955,-0.00912449,0.0131819,4.033,3.03709,-505.638,-0.00973146,0.00159739,-0.00898147,0.0133402
1121,3.84839,2.93288,-505.844,-0.0092248,0.00132182,-0.00887785,0.01288,4.033,3.03709,-505.638,-0.00961267,0.00136841,-0.00878746,0.0130967
1122,3.84839,2.93288,-505.844,-0.00925177,0.00122717,-0.00874458,0.0128052,4.033,3.03709,-505.638,-0.00962289,0.00127167,-0.00854602,0.0129343
1123,3.84839,2.93288,-505.844,-0.00918576,0.00106803,-0.00837997,0.0124852,4.033,3.03709,-505.638,-0.0095504,0.00113853,-0.00849654,0.0128342
1124,3.84839,2.93288,-505.844,-0.00919753,0.00106252,-0.00758773,0.0119903,4.033,3.03709,-505.638,-0.00954569,0.00114533,-0.00740566,0.0121389
1125,3.84839,2.93288,-505.844,-0.00913465,0.000983051,-0.00770764,0.0120026,4.033,3.03709,-505.638,-0.00949918,0.00103769,-0.00766607,0.0122515
1126,3.84839,2.93288,-505.844,-0.00896033,0.00105407,-0.00670841,0.0112514,4.033,3.03709,-505.638,-0.0093148,0.00113101,-0.00675262,0.0115622
1127,3.84839,2.93288,-505.844,-0.00880332,0.00110226,-0.00626558,0.0108769,4.033,3.03709,-505.638,-0.00920255,0.0011627,-0.00611046,0.0111093
1128,3.84839,2.93288,-505.844,-0.00883771,0.00134511,-0.00614642,0.0108622,4.033,3.03709,-505.638,-0.00921248,0.00140884,-0.00609717,0.0111389
1129,3.84839,2.93288,-505.844,-0.00870351,0.0013316,-0.00553955,0.0104081,4.033,3.03709,-505.638,-0.00907479,0.00141797,-0.00561037,0.0107634
1130,3.84839,2.93288,-505.844,-0.00864477,0.00153837,-0.0058857,0.0105962,4.033,3.03709,-505.638,-0.00895972,0.00163927,-0.00569526,0.0107471
1131,3.84839,2.93288,-505.844,-0.00847613,0.00151782,-0.00502643,0.00998601,4.033,3.03709,-505.638,-0.00882477,0.00160108,-0.00492616,0.0102355
1132,3.84839,2.93288,-505.844,-0.00831889,0.00158181,-0.00535975,0.0100338,4.033,3.03709,-505.638,-0.00863676,0.00168257,-0.00524217,0.0102441
1133,3.84839,2.93288,-505.844,-0.00829376,0.00148066,-0.00387058,0.00927974,4.033,3.03709,-505.638,-0.00866741,0.00158645,-0.00393523,0.00965097
1134,3.84839,2.93288,-505.844,-0.00808111,0.00141933,-0.00399135,0.00914163,4.033,3.03709,-505.638,-0.00842409,0.00150883,-0.00387346,0.00939708
1135,3.84839,2.93288,-505.844,-0.00797103,0.00116231,-0.00466279,0.00931727,4.033,3.03709,-505.638,-0.00834236,0.00128124,-0.00481169,0.00971721
1136,3.84839,2.93288,-505.844,-0.00802758,0.00112218,-0.00382555,0.00897241,4.033,3.03709,-505.638,-0.0084129,0.00120567,-0.00379556,0.00930908
