"R0",,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
553,2.59726,15.5735,-411.578,0.00306323,-0.00409366,0.0126084,0.0136223,0.000186903,0.000191727,0.000968057
554,2.59726,15.5735,-411.578,0.00376137,-0.00410628,0.0126063,0.0137907,0.000192034,0.000197301,0.000994462
555,2.59726,15.5735,-411.578,0.00428811,-0.00370301,0.0115571,0.0128838,0.00018364,0.000188985,0.000951309
556,2.59726,15.5735,-411.578,0.00436264,-0.00368301,0.0124748,0.0137282,0.000188877,0.000193992,0.00097851
557,2.59726,15.5735,-411.578,0.00427241,-0.0034979,0.0125735,0.0137455,0.000187458,0.000192122,0.000970959
558,2.59726,15.5735,-411.578,0.00421015,-0.00360182,0.0126823,0.0138569,0.00018717,0.000192035,0.000969512
559,2.59726,15.5735,-411.578,0.00422547,-0.00360626,0.0130304,0.0141851,0.000187534,0.000192689,0.000971585
560,2.59726,15.5735,-411.578,0.00479402,-0.00356705,0.0124047,0.0138025,0.000187697,0.000192881,0.000972322
561,2.59726,15.5735,-411.578,0.00544729,-0.00362511,0.0127842,0.0143824,0.000190312,0.000195136,0.000985589
562,2.59726,15.5735,-411.578,0.00651446,-0.00361806,0.012393,0.0144796,0.000186709,0.000191835,0.000967301
563,2.59726,15.5735,-411.578,0.00740615,-0.00364881,0.013178,0.0155584,0.000189757,0.00019499,0.000982814
564,2.59726,15.5735,-411.578,0.00798565,-0.00347446,0.0125196,0.0152737,0.00018985,0.000194869,0.000983518
565,2.59726,15.5735,-411.578,0.00803406,-0.00350036,0.0128592,0.0155817,0.000192951,0.000198029,0.000999359
566,2.59726,15.5735,-411.578,0.0079405,-0.00327398,0.0129718,0.0155862,0.000192504,0.000197705,0.000997116
567,2.59726,15.5735,-411.578,0.00760126,-0.00315916,0.0129344,0.0153587,0.000188293,0.000193656,0.000975154
568,2.59726,15.5735,-411.578,0.00774675,-0.00316896,0.0125813,0.0151206,0.000187536,0.000192853,0.000971525
569,2.59726,15.5735,-411.578,0.00803012,-0.00324908,0.0123435,0.0151009,0.000188896,0.000194219,0.000978381
570,2.59726,15.5735,-411.578,0.00876396,-0.0033182,0.0116415,0.0149875,0.000189064,0.000193826,0.000979381
571,2.59726,15.5735,-411.578,0.00949682,-0.00330176,0.0105815,0.0146369,0.000191361,0.000196866,0.000991227
572,2.59726,15.5735,-411.578,0.0103093,-0.00333638,0.0111352,0.0155685,0.000189669,0.000194529,0.000982433
573,2.59726,15.5735,-411.578,0.0106113,-0.00301208,0.0110365,0.0156249,0.000190136,0.000195399,0.000984737
574,2.59726,15.5735,-411.578,0.010757,-0.00304568,0.0113854,0.0159969,0.000190187,0.000195321,0.000985187
575,2.59726,15.5735,-411.578,0.0105256,-0.00308744,0.0113746,0.0158386,0.000188566,0.000194016,0.000977041
576,2.59726,15.5735,-411.578,0.00997535,-0.00282232,0.0119145,0.0158031,0.000194945,0.000200586,0.00100974
577,2.59726,15.5735,-411.578,0.00998012,-0.00260739,0.0107499,0.0149128,0.000189364,0.000194662,0.000980728
578,2.59726,15.5735,-411.578,0.010241,-0.00276242,0.0117997,0.0158823,0.000188558,0.000194297,0.000976763
579,2.59726,15.5735,-411.578,0.0109305,-0.00266993,0.0106011,0.0154848,0.000189211,0.000194806,0.000980177
580,2.59726,15.5735,-411.578,0.0116259,-0.00259137,0.010649,0.0160344,0.000188597,0.000193951,0.000976945
581,2.59726,15.5735,-411.578,0.0123079,-0.00251228,0.0100765,0.0161662,0.000191268,0.000197149,0.000990735
582,2.59726,15.5735,-411.578,0.012366,-0.00227003,0.0105552,0.0164921,0.000193284,0.000198609,0.00100103
583,2.59726,15.5735,-411.578,0.012461,-0.00225539,0.0107015,0.0166053,0.000191333,0.000197049,0.000991062
584,2.59726,15.5735,-411.578,0.0120178,-0.00202513,0.0108686,0.0163997,0.000190698,0.000196175,0.000987599
585,2.59726,15.5735,-411.578,0.0116199,-0.00161733,0.00958869,0.0152069,0.000185571,0.000190471,0.000961474
586,2.59726,15.5735,-411.578,0.0112013,-0.00170907,0.00930952,0.0146888,0.000191695,0.000196854,0.000992893
587,2.59726,15.5735,-411.578,0.0113834,-0.00170406,0.00879974,0.014549,0.000190703,0.000196291,0.000987812
588,2.59726,15.5735,-411.578,0.0116873,-0.00151998,0.00850099,0.0145917,0.000191507,0.00019652,0.00099211
589,2.59726,15.5735,-411.578,0.0122748,-0.00176549,0.00959282,0.0157104,0.000189621,0.000194711,0.000982348
590,2.59726,15.5735,-411.578,0.0125403,-0.00172596,0.00904611,0.0155868,0.000189413,0.000194589,0.000981097
591,2.59726,15.5735,-411.578,0.012846,-0.00157737,0.0093118,0.0159984,0.000191849,0.000197307,0.000993885
592,2.59726,15.5735,-411.578,0.0124493,-0.00149622,0.00801208,0.0149436,0.00019132,0.000196882,0.000991032
593,2.59726,15.5735,-411.578,0.0120315,-0.00123061,0.00757417,0.0143381,0.000192172,0.000197378,0.000995337
594,2.59726,15.5735,-411.578,0.0113301,-0.00120702,0.00848616,0.0142474,0.000189542,0.000195023,0.000981789
595,2.59726,15.5735,-411.578,0.0112121,-0.00124996,0.00870533,0.0143045,0.000191318,0.000196763,0.000990882
596,2.59726,15.5735,-411.578,0.0110228,-0.00111728,0.00912615,0.0144013,0.000192868,0.000198237,0.000999001
597,2.59726,15.5735,-411.578,0.0114424,-0.00123493,0.00975309,0.0151341,0.000191901,0.000197042,0.000993937
598,2.59726,15.5735,-411.578,0.0115186,-0.00110071,0.0101786,0.0154609,0.000190363,0.000195507,0.000986135
599,2.59726,15.5735,-411.578,0.0118885,-0.00107337,0.0104426,0.0158847,0.000192948,0.000198491,0.000999411
600,2.59726,15.5735,-411.578,0.0117592,-0.00123374,0.00982232,0.0154269,0.000192423,0.000198177,0.000996738
601,2.59726,15.5735,-411.578,0.0109584,-0.000821065,0.00979125,0.0147701,0.00019115,0.000196196,0.000990156
602,2.59726,15.5735,-411.578,0.0106183,-0.000693847,0.00774667,0.0132334,0.00019203,0.000197521,0.000994485
603,2.59726,15.5735,-411.578,0.00970645,-0.000419497,0.00836025,0.0128581,0.000193912,0.000199147,0.0010043
604,2.59726,15.5735,-411.578,0.00912335,-0.000288639,0.00766622,0.0119434,0.000191044,0.000196475,0.000989546
605,2.59726,15.5735,-411.578,0.00897847,-0.000343628,0.00659492,0.0111691,0.000192205,0.00019732,0.000995355
606,2.59726,15.5735,-411.578,0.00887428,-0.000510239,0.00795226,0.0119593,0.000191409,0.000196664,0.000991321
607,2.59726,15.5735,-411.578,0.0090386,-0.000436075,0.00703711,0.011515,0.000188377,0.000193655,0.000975905
608,2.59726,15.5735,-411.578,0.00909374,-0.000441791,0.00692665,0.0114939,0.000188686,0.000194431,0.000977226
609,2.59726,15.5735,-411.578,0.00888628,-0.000383399,0.00706045,0.0114142,0.000190492,0.000196186,0.000986704
610,2.59726,15.5735,-411.578,0.00830949,-0.000363628,0.00687779,0.0108839,0.00019057,0.000196322,0.000987331
611,2.59726,15.5735,-411.578,0.00751288,-0.000263142,0.00654461,0.0100265,0.000191558,0.000196452,0.000992047
612,2.59726,15.5735,-411.578,0.00663797,-0.000161734,0.00575593,0.00888644,0.000187635,0.000192623,0.000971878
613,2.59726,15.5735,-411.578,0.0058802,-0.000133726,0.00537092,0.0080595,0.000189652,0.00019495,0.000982331
614,2.59726,15.5735,-411.578,0.00540473,-0.000321589,0.00570569,0.00791317,0.000190304,0.00019543,0.000985673
615,2.59726,15.5735,-411.578,0.00539298,-0.000294282,0.00583191,0.0081059,0.000190785,0.000195888,0.00098802
616,2.59726,15.5735,-411.578,0.0055242,-0.000285972,0.00535513,0.00775258,0.000188156,0.000193552,0.000974733
617,2.59726,15.5735,-411.578,0.00557029,-0.000400378,0.00547339,0.00787875,0.000187044,0.000192141,0.000968818
618,2.59726,15.5735,-411.578,0.00521577,-0.000266855,0.00557439,0.00775384,0.000188277,0.000193521,0.00097513
619,2.59726,15.5735,-411.578,0.00446311,-5.1661e-05,0.00509108,0.00680233,0.000189843,0.000195159,0.000983294
620,2.59726,15.5735,-411.578,0.00348796,-6.80281e-05,0.00459391,0.00582541,0.000192376,0.000197493,0.000996417
621,2.59726,15.5735,-411.578,0.00240039,-7.45928e-05,0.00365291,0.00446065,0.000189541,0.000194449,0.000982025
622,2.59726,15.5735,-411.578,0.00189315,2.43555e-05,0.00269459,0.0036055,0.000189695,0.000194474,0.000982764
623,2.59726,15.5735,-411.578,0.00143806,-3.21617e-05,0.00323065,0.00376613,0.000189812,0.000194924,0.000983287
624,2.59726,15.5735,-411.578,0.00145817,-3.09121e-05,0.0023629,0.00331219,0.00018848,0.000193535,0.000976404
625,2.59726,15.5735,-411.578,0.00133102,-0.000131648,0.00228031,0.00285025,0.000192003,0.000197184,0.000994505
626,2.59726,15.5735,-411.578,0.00142362,-6.49571e-05,0.00144339,0.00247233,0.000190782,0.000196523,0.000988277
627,2.59726,15.5735,-411.578,0.00107953,-1.86792e-05,0.00161233,0.0024139,0.000190903,0.000196498,0.000989013
628,2.59726,15.5735,-411.578,0.000396559,-3.68837e-05,0.000476752,0.00126446,0.000188642,0.000193606,0.000977282
629,2.59726,15.5735,-411.578,-0.000367262,2.39883e-05,0.000940309,0.0015838,0.000188671,0.000193757,0.000977064
630,2.59726,15.5735,-411.578,-0.00119396,3.50956e-05,0.00184152,0.00249661,0.000189783,0.000195098,0.000983182
631,2.59726,15.5735,-411.578,-0.00201565,3.41779e-06,0.001724,0.00332577,0.000189387,0.000194454,0.000981044
632,2.59726,15.5735,-411.578,-0.00221528,-0.000239484,0.00266691,0.0038152,0.000190419,0.000195304,0.00098634
633,2.59726,15.5735,-411.578,-0.00218597,-0.000463997,0.00194926,0.00328309,0.000189848,0.00019487,0.00098337
634,2.59726,15.5735,-411.578,-0.00206617,-0.000455138,0.00241987,0.00342918,0.000191633,0.000197138,0.000992763
635,2.59726,15.5735,-411.578,-0.00186351,-0.000357303,0.00223193,0.00307046,0.000191329,0.000196587,0.000991235
636,2.59726,15.5735,-411.578,-0.0020147,-0.000377795,0.00227139,0.00319286,0.00019044,0.000195845,0.000986568
637,2.59726,15.5735,-411.578,-0.00255052,-0.000281714,0.00217964,0.00377714,0.000190199,0.000195628,0.000985346
638,2.59726,15.5735,-411.578,-0.00337459,-0.000211902,0.00206242,0.00447643,0.000187919,0.000193332,0.00097359
639,2.59726,15.5735,-411.578,-0.00439259,-0.00027422,0.00261503,0.00532392,0.000189504,0.000194684,0.000981822
640,2.59726,15.5735,-411.578,-0.00516401,-0.000323477,0.00210344,0.00590517,0.000192219,0.000197343,0.000995567
641,2.59726,15.5735,-411.578,-0.00528012,-0.000565718,0.00311224,0.00630856,0.000193322,0.000198666,0.00100145
642,2.59726,15.5735,-411.578,-0.00538893,-0.000508492,0.00359137,0.00661338,0.000188757,0.000193376,0.000977676
643,2.59726,15.5735,-411.578,-0.00492802,-0.000729716,0.00303382,0.0059361,0.00018614,0.000191419,0.000964614
644,2.59726,15.5735,-411.578,-0.00485772,-0.000922876,0.00283005,0.00592593,0.000187419,0.000192798,0.000970921
645,2.59726,15.5735,-411.578,-0.00488845,-0.000854899,0.00320658,0.0060035,0.00018882,0.000194015,0.000977896
646,2.59726,15.5735,-411.578,-0.00542999,-0.000775417,0.00318365,0.00651779,0.000189113,0.000194792,0.000980059
647,2.59726,15.5735,-411.578,-0.00604192,-0.000795685,0.00269179,0.00679075,0.000190206,0.000195622,0.000985246
648,2.59726,15.5735,-411.578,-0.00679075,-0.000899097,0.00317551,0.00773258,0.000190178,0.000195326,0.000985319
649,2.59726,15.5735,-411.578,-0.00766542,-0.000683881,0.0038156,0.00876417,0.000187734,0.000193213,0.000972594
650,2.59726,15.5735,-411.578,-0.0079474,-0.00110613,0.00491157,0.00945603,0.000189956,0.000194605,0.000983945
651,2.59726,15.5735,-411.578,-0.00765227,-0.00119002,0.00513114,0.00941483,0.000187531,0.000192648,0.00097113
652,2.59726,15.5735,-411.578,-0.00728405,-0.00151349,0.00525982,0.0091953,0.000189757,0.000194818,0.00098301
653,2.59726,15.5735,-411.578,-0.00679695,-0.00170921,0.00451474,0.00852171,0.0001903,0.000195948,0.000985636
654,2.59726,15.5735,-411.578,-0.00662737,-0.00167267,0.00461874,0.00841278,0.000188819,0.000194026,0.000978111
655,2.59726,15.5735,-411.578,-0.0068512,-0.00164202,0.00501251,0.00883054,0.00019033,0.0001955,0.000985979
656,2.59726,15.5735,-411.578,-0.0072647,-0.0016541,0.00506818,0.0091157,0.000190335,0.000195936,0.000985921
657,2.59726,15.5735,-411.578,-0.00783776,-0.00134603,0.00526013,0.00974635,0.000193228,0.000198108,0.00100097
658,2.59726,15.5735,-411.578,-0.00855969,-0.00162027,0.00624677,0.0107961,0.000189855,0.000195332,0.000983684
659,2.59726,15.5735,-411.578,-0.00861162,-0.00200771,0.0063437,0.0109791,0.000189678,0.000194713,0.000982466
660,2.59726,15.5735,-411.578,-0.00827898,-0.00214559,0.00588644,0.0104818,0.000189048,0.000194425,0.000979368
661,2.59726,15.5735,-411.578,-0.00769784,-0.00232169,0.00602505,0.0101006,0.00019005,0.000195264,0.000984611
662,2.59726,15.5735,-411.578,-0.00711574,-0.00242246,0.00701246,0.0103284,0.000194422,0.000199487,0.00100723
663,2.59726,15.5735,-411.578,-0.00649241,-0.00239958,0.0067815,0.00981683,0.000188263,0.000193722,0.000975219
664,2.59726,15.5735,-411.578,-0.00667457,-0.00238049,0.00708363,0.0100759,0.000190302,0.000195634,0.000985587
665,2.59726,15.5735,-411.578,-0.00675266,-0.00212536,0.00709839,0.0100964,0.000190403,0.000195322,0.000986317
666,2.59726,15.5735,-411.578,-0.00724695,-0.00215777,0.00694974,0.0103466,0.000189754,0.000195173,0.000982908
667,2.59726,15.5735,-411.578,-0.0076868,-0.00203565,0.00778676,0.0111725,0.00018963,0.00019469,0.000982017
668,2.59726,15.5735,-411.578,-0.00767564,-0.00216257,0.00727837,0.0109353,0.000191471,0.000197187,0.000991864
669,2.59726,15.5735,-411.578,-0.00715591,-0.00222704,0.00775106,0.0108856,0.000190702,0.000195726,0.000987884
670,2.59726,15.5735,-411.578,-0.00635292,-0.00236777,0.00736327,0.0101299,0.000192123,0.000197512,0.000995201
671,2.59726,15.5735,-411.578,-0.00554331,-0.00256742,0.00778752,0.0099509,0.000189713,0.00019493,0.000982635
672,2.59726,15.5735,-411.578,-0.00490795,-0.00247649,0.0083616,0.0100414,0.000186897,0.000192243,0.000968076
673,2.59726,15.5735,-411.578,-0.00466566,-0.00245235,0.00887695,0.0103448,0.000188912,0.000194531,0.000978615
674,2.59726,15.5735,-411.578,-0.00491201,-0.00234425,0.00848805,0.0101199,0.000190826,0.000196141,0.000988397
675,2.59726,15.5735,-411.578,-0.00524525,-0.00208557,0.00839889,0.0101661,0.000189917,0.000195176,0.000983581
676,2.59726,15.5735,-411.578,-0.00573018,-0.00220483,0.00933553,0.0112005,0.000190385,0.000195711,0.000986187
677,2.59726,15.5735,-411.578,-0.0054972,-0.00241437,0.00962643,0.0113737,0.00018912,0.000194035,0.000979453
678,2.59726,15.5735,-411.578,-0.00502473,-0.00257491,0.00935892,0.0109586,0.000187584,0.000192576,0.000971922
679,2.59726,15.5735,-411.578,-0.00404917,-0.00268,0.0110548,0.0120917,0.000187467,0.000192712,0.000970916
680,2.59726,15.5735,-411.578,-0.00304856,-0.00297165,0.0111267,0.0119215,0.000189707,0.000195063,0.00098254
681,2.59726,15.5735,-411.578,-0.00231705,-0.00294965,0.0114815,0.0120921,0.000192626,0.000197659,0.000997732
682,2.59726,15.5735,-411.578,-0.00189378,-0.00304736,0.011352,0.011915,0.000190563,0.000195286,0.000987003
683,2.59726,15.5735,-411.578,-0.00188493,-0.00268402,0.0119211,0.0123712,0.000192527,0.000197525,0.000997177
684,2.59726,15.5735,-411.578,-0.00203989,-0.00269669,0.0118648,0.012346,0.000190476,0.000196026,0.000986653
685,2.59726,15.5735,-411.578,-0.00214634,-0.00273746,0.011315,0.0118453,0.000186973,0.000192263,0.000968339
686,2.59726,15.5735,-411.578,-0.00208101,-0.00289533,0.0124732,0.0129781,0.000188367,0.000193083,0.000975776
687,2.59726,15.5735,-411.578,-0.00141016,-0.00293795,0.0128787,0.0132909,0.000190311,0.000195248,0.000985631
688,2.59726,15.5735,-411.578,-0.00053383,-0.00306638,0.0122728,0.012666,0.000190653,0.000195595,0.000987264
689,2.59726,15.5735,-411.578,0.000362571,-0.00322741,0.012438,0.0128579,0.000186941,0.000191766,0.000968341
690,2.59726,15.5735,-411.578,0.00124678,-0.0034599,0.0125205,0.0130669,0.000188505,0.000193314,0.000976324
691,2.59726,15.5735,-411.578,0.00182901,-0.00342977,0.0125132,0.0131182,0.00018768,0.000192932,0.000972079
692,2.59726,15.5735,-411.578,0.00194963,-0.00322387,0.0128002,0.0133528,0.000188797,0.000193891,0.00097787
693,2.59726,15.5735,-411.578,0.00181751,-0.00328709,0.0127099,0.013267,0.000187359,0.000192512,0.000970644
694,2.59726,15.5735,-411.578,0.00172809,-0.00310016,0.0130023,0.013484,0.000190889,0.000196136,0.000989011
695,2.59726,15.5735,-411.578,0.00203142,-0.0032175,0.0123563,0.0129462,0.000189098,0.000194177,0.00097956
696,2.59726,15.5735,-411.578,0.00264369,-0.00323045,0.0121647,0.0128817,0.000188217,0.000193494,0.000975021
697,2.59726,15.5735,-411.578,0.00329411,-0.0035125,0.0135338,0.0143821,0.00019047,0.000195305,0.000986475
698,2.59726,15.5735,-411.578,0.0042694,-0.00356508,0.0127663,0.0139396,0.000188738,0.000193995,0.000977726
699,2.59726,15.5735,-411.578,0.00518714,-0.00368278,0.0132559,0.0147298,0.00019009,0.00019529,0.000984549
700,2.59726,15.5735,-411.578,0.0057004,-0.00368459,0.0125335,0.0142887,0.000189556,0.000194674,0.00098184
701,2.59726,15.5735,-411.578,0.00580265,-0.00343078,0.0123474,0.0140946,0.000191173,0.00019604,0.000990214
702,2.59726,15.5735,-411.578,0.0058238,-0.00314641,0.0119022,0.0136483,0.000193594,0.00019897,0.00100295
703,2.59726,15.5735,-411.578,0.00575082,-0.00302906,0.0129819,0.0145556,0.000188793,0.000193863,0.000977925
704,2.59726,15.5735,-411.578,0.00595846,-0.00312456,0.0119948,0.0137815,0.000186774,0.000192002,0.000967557
705,2.59726,15.5735,-411.578,0.00631356,-0.00300598,0.0132739,0.0150123,0.000188685,0.000194021,0.00097741
706,2.59726,15.5735,-411.578,0.00696668,-0.0032201,0.0123277,0.0145401,0.000189189,0.000194453,0.000979961
707,2.59726,15.5735,-411.578,0.0078719,-0.00313972,0.0125408,0.0151596,0.000195013,0.000200516,0.00100982
708,2.59726,15.5735,-411.578,0.00878044,-0.00321339,0.0124684,0.0156239,0.000190738,0.000195839,0.000988083
709,2.59726,15.5735,-411.578,0.00926287,-0.00319241,0.0124078,0.0158267,0.000191636,0.000197185,0.000992593
710,2.59726,15.5735,-411.578,0.00920929,-0.00292579,0.0119804,0.015421,0.000189861,0.000195182,0.000983519
711,2.59726,15.5735,-411.578,0.00913092,-0.00290559,0.0116484,0.01512,0.000191917,0.000197172,0.00099412
712,2.59726,15.5735,-411.578,0.00910055,-0.00254371,0.0118626,0.0152172,0.000189517,0.000194538,0.000981601
713,2.59726,15.5735,-411.578,0.00942545,-0.00243749,0.0114941,0.0151197,0.000188711,0.000193691,0.000977542
714,2.59726,15.5735,-411.578,0.00959325,-0.00245662,0.0113199,0.0151228,0.00018791,0.000192952,0.000973489
715,2.59726,15.5735,-411.578,0.0100283,-0.0025094,0.0115616,0.0155612,0.000189844,0.000194354,0.000983469
716,2.59726,15.5735,-411.578,0.0108412,-0.00259055,0.0110693,0.0157462,0.000192579,0.00019752,0.000997586
717,2.59726,15.5735,-411.578,0.0115334,-0.00253208,0.0114155,0.0164643,0.000192338,0.000197413,0.000996305
718,2.59726,15.5735,-411.578,0.0117787,-0.00258091,0.0112343,0.0165735,0.000189765,0.000195025,0.000983158
719,2.59726,15.5735,-411.578,0.0117505,-0.00241383,0.0122025,0.0171398,0.000192995,0.000198468,0.000999542
720,2.59726,15.5735,-411.578,0.0115358,-0.00230633,0.0110678,0.0161972,0.000188118,0.000193495,0.00097448
721,2.59726,15.5735,-411.578,0.0113302,-0.00221029,0.0108938,0.0159159,0.000192622,0.000198092,0.000997714
722,2.59726,15.5735,-411.578,0.0113458,-0.00206718,0.0111922,0.0161179,0.00019055,0.000195734,0.000987023
723,2.59726,15.5735,-411.578,0.0114355,-0.00208607,0.0114426,0.0163579,0.000192989,0.00019839,0.000999636
724,2.59726,15.5735,-411.578,0.0119132,-0.00207045,0.0102048,0.0158655,0.000191034,0.000196613,0.000989573
725,2.59726,15.5735,-411.578,0.0122649,-0.00196231,0.00964532,0.0157503,0.000190177,0.000195387,0.000984969
726,2.59726,15.5735,-411.578,0.0127827,-0.00191787,0.00951481,0.0160937,0.000189808,0.000195206,0.000983151
727,2.59726,15.5735,-411.578,0.0127938,-0.00201049,0.00969345,0.0162064,0.000191223,0.000196692,0.00099042
728,2.59726,15.5735,-411.578,0.0126512,-0.00183375,0.00866287,0.0155365,0.000192976,0.000198227,0.000999476
729,2.59726,15.5735,-411.578,0.0124148,-0.00171523,0.00901577,0.0154889,0.000193784,0.000199167,0.00100371
730,2.59726,15.5735,-411.578,0.0118185,-0.00159127,0.00831832,0.0146076,0.000193468,0.000199136,0.001002
731,2.59726,15.5735,-411.578,0.0117564,-0.00148296,0.00833642,0.0145755,0.000189661,0.000195234,0.000982701
732,2.59726,15.5735,-411.578,0.0118369,-0.00142165,0.00762216,0.0142807,0.000189639,0.00019482,0.000982172
733,2.59726,15.5735,-411.578,0.0120684,-0.00145333,0.0080598,0.0146632,0.000188431,0.000193758,0.000976196
734,2.59726,15.5735,-411.578,0.0122661,-0.00127628,0.00777316,0.0147008,0.000191145,0.000196466,0.000990126
735,2.59726,15.5735,-411.578,0.012533,-0.00144827,0.00834836,0.0151764,0.000189128,0.000194936,0.000979726
736,2.59726,15.5735,-411.578,0.0124112,-0.00157104,0.00797596,0.0148754,0.000189014,0.000194463,0.000979115
737,2.59726,15.5735,-411.578,0.0120295,-0.0014024,0.00801854,0.0145707,0.00019043,0.000195779,0.000986225
738,2.59726,15.5735,-411.578,0.0113926,-0.00151423,0.00781781,0.0139523,0.000191896,0.000196786,0.000994199
739,2.59726,15.5735,-411.578,0.0108739,-0.00127782,0.00726034,0.0131909,0.000187972,0.000193424,0.000973739
740,2.59726,15.5735,-411.578,0.0104525,-0.00107237,0.00755627,0.0129854,0.000193309,0.000198265,0.00100131
741,2.59726,15.5735,-411.578,0.0105649,-0.000953575,0.00716857,0.0128431,0.000193303,0.00019887,0.00100134
742,2.59726,15.5735,-411.578,0.0106829,-0.000960862,0.00713276,0.0129209,0.000190018,0.000195172,0.000984242
743,2.59726,15.5735,-411.578,0.0110691,-0.0010202,0.00752445,0.0134694,0.000188643,0.000194136,0.000977239
744,2.59726,15.5735,-411.578,0.0110058,-0.000989048,0.00650373,0.0128634,0.00019199,0.000197238,0.000994313
745,2.59726,15.5735,-411.578,0.0107914,-0.00104312,0.00721473,0.0130539,0.000193284,0.000198072,0.00100128
746,2.59726,15.5735,-411.578,0.0104424,-0.000991852,0.0062307,0.0122704,0.000187572,0.000192902,0.000971565
747,2.59726,15.5735,-411.578,0.00969276,-0.00054997,0.00548403,0.0112197,0.000191107,0.000196389,0.000990065
748,2.59726,15.5735,-411.578,0.00877674,-0.000698643,0.00525763,0.010332,0.000190612,0.000195733,0.000987256
749,2.59726,15.5735,-411.578,0.00842733,-0.000519352,0.00549031,0.0101683,0.000188918,0.000194496,0.000978439
750,2.59726,15.5735,-411.578,0.00823876,-0.000496899,0.00540679,0.00995667,0.000194451,0.000200034,0.00100735
751,2.59726,15.5735,-411.578,0.008151,-0.000472345,0.00472725,0.00953492,0.000190394,0.000195182,0.000986338
752,2.59726,15.5735,-411.578,0.00851675,-0.000499084,0.00484677,0.0099125,0.000191227,0.00019704,0.000990784
753,2.59726,15.5735,-411.578,0.0083312,-0.000595032,0.00546853,0.0100322,0.000188362,0.000193559,0.000975729
754,2.59726,15.5735,-411.578,0.00804491,-0.000575371,0.00515071,0.00965776,0.000186098,0.000191415,0.000964019
755,2.59726,15.5735,-411.578,0.00726113,-0.000708721,0.00497151,0.00888834,0.000189957,0.000195158,0.000983923
756,2.59726,15.5735,-411.578,0.00642221,-0.000470787,0.0046738,0.00808099,0.000190366,0.000195484,0.000986147
757,2.59726,15.5735,-411.578,0.00535051,-0.000554066,0.00503706,0.00740901,0.000188198,0.000193589,0.000974652
758,2.59726,15.5735,-411.578,0.00488728,-0.000395692,0.004779,0.00694101,0.000188681,0.000193197,0.000977164
759,2.59726,15.5735,-411.578,0.00451514,-0.00054481,0.00498963,0.00682078,0.000189555,0.000194543,0.00098203
760,2.59726,15.5735,-411.578,0.00459844,-0.000546357,0.00468424,0.00668095,0.000188981,0.000194444,0.000978801
761,2.59726,15.5735,-411.578,0.00475845,-0.000519741,0.0042968,0.00659104,0.000186538,0.000191946,0.000966288
762,2.59726,15.5735,-411.578,0.00481027,-0.000605962,0.00485566,0.00696969,0.000189659,0.000195076,0.000982418
763,2.59726,15.5735,-411.578,0.00437728,-0.000699122,0.0048483,0.00663401,0.000188965,0.000194462,0.000979019
764,2.59726,15.5735,-411.578,0.00346401,-0.000640924,0.00473932,0.00600831,0.000190353,0.000195906,0.000986114
765,2.59726,15.5735,-411.578,0.00254939,-0.000590839,0.00417331,0.00510725,0.000185108,0.000190185,0.000959021
766,2.59726,15.5735,-411.578,0.00154697,-0.000604643,0.00408095,0.00443215,0.000190208,0.000195116,0.000985268
767,2.59726,15.5735,-411.578,0.000860228,-0.000468219,0.00383842,0.00411623,0.000188481,0.000193413,0.000975997
768,2.59726,15.5735,-411.578,0.000592308,-0.000263678,0.00417852,0.00437209,0.000187673,0.000192829,0.000972294
769,2.59726,15.5735,-411.578,0.000585403,-0.000504398,0.00464583,0.00485364,0.000192043,0.000197399,0.000994666
770,2.59726,15.5735,-411.578,0.000636195,-0.000615852,0.00503745,0.0051292,0.000188171,0.000193682,0.000974694
771,2.59726,15.5735,-411.578,0.00060502,-0.000614313,0.00494308,0.00504407,0.000189225,0.000194307,0.000980051
772,2.59726,15.5735,-411.578,0.000295348,-0.000690084,0.0041939,0.00428425,0.000186541,0.00019155,0.000966224
773,2.59726,15.5735,-411.578,-0.000430713,-0.000663077,0.00433557,0.00442371,0.000188372,0.000193248,0.000975838
774,2.59726,15.5735,-411.578,-0.00160864,-0.000640502,0.00393578,0.00446663,0.000186889,0.000191882,0.000968368
775,2.59726,15.5735,-411.578,-0.00252145,-0.000391004,0.00447496,0.00529788,0.000189031,0.000194079,0.000979132
776,2.59726,15.5735,-411.578,-0.00336877,-0.000261671,0.00359426,0.00518212,0.000187971,0.000193164,0.000973737
777,2.59726,15.5735,-411.578,-0.00363371,-0.00036451,0.00324065,0.00501796,0.000190305,0.000195779,0.000985662
778,2.59726,15.5735,-411.578,-0.00364728,-0.000378084,0.00325158,0.00518587,0.000186163,0.000191628,0.000964365
779,2.59726,15.5735,-411.578,-0.0033757,-0.000485228,0.00250742,0.00467987,0.000190756,0.000195838,0.000988277
780,2.59726,15.5735,-411.578,-0.00350044,-0.000468903,0.00209007,0.00497982,0.000189563,0.000194837,0.000981997
781,2.59726,15.5735,-411.578,-0.00375586,-0.000576015,0.00182982,0.00443985,0.000189967,0.000194991,0.000984147
782,2.59726,15.5735,-411.578,-0.00436581,-0.000618117,0.00215844,0.00521632,0.000189733,0.000195062,0.00098271
