"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
0;0;1;1;1;1;0;0;-5614,62106120905;-0,0265273079276085;
0,05;0,05;1;1;1;1;0;0;-5614,62106120905;-0,0265343533828855;
0,1;0,1;1;1;1;1;0;0;-5614,62106120905;-0,0267521338537335;
0,15;0,15;1;1;1;1;0;0;-5614,62106120905;-0,0268756505101919;
0,2;0,2;1;1;1;1;0;0;-5614,62106120905;-0,0267776427790523;
0,25;0,25;1;1;1;1;0;0;-5614,62106120905;-0,0268621789291501;
0,3;0,3;1;1;1;1;0;0;-5614,62106120905;-0,0272695813328028;
0,35;0,35;1;1;1;1;0;0;-5614,62106120905;-0,0273154536262155;
0,4;0,4;1;1;1;1;0;0;-5614,62106120905;-0,0281279906630516;
0,45;0,45;1;1;1;1;0;0;-5616,42574079912;-0,0337285362184048;
0,5;0,5;1;1;1;1;0;0;-5620,15401124283;-0,0419095763936639;
0,55;0,55;1;1;1;1;0;0;-5622,52418988702;-0,0469241244718432;
0,6;0,6;1;1;1;1;0;0;-5624,11071648231;-0,0495609035715461;
0,65;0,65;1;1;1;1;0;0;-5625,42321072964;-0,0522422883659601;
0,7;0,7;1;1;1;1;0;0;-5626,57656057913;-0,0544370571151376;
0,75;0,75;1;1;1;1;0;0;-5627,69235950329;-0,0563059980049729;
0,8;0,8;1;1;1;1;0;0;-5628,80815842745;-0,0582266738638282;
0,85;0,85;1;1;1;1;0;0;-5629,68971110311;-0,0602100742980838;
0,9;0,9;1;1;1;1;0;0;-5630,47068094306;-0,0626677228137851;
0,95;0,95;1;1;1;1;0;0;-5631,56099888217;-0,0645864568650723;
1;1;1;1;1;1;0;0;-5632,79392093058;-0,066706626676023;
1,05;1,05;1;1;1;1;0;0;-5633,68664947687;-0,0687589589506388;
1,1;1,1;1;1;1;1;0;0;-5634,57937802317;-0,0708696804940701;
1,15;1,15;1;1;1;1;0;0;-5635,47210656946;-0,073129078373313;
1,2;1,2;1;1;1;1;0;0;-5636,36483511575;-0,0750991888344288;
