"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
0;0;1;1;1;1;0;0;-13696,9333671381;-0,0399134727194905;
0,05;0,05;1;1;1;1;0;0;-13696,9333671381;-0,0400316528975964;
0,1;0,1;1;1;1;1;0;0;-13696,9333671381;-0,0400612642988563;
0,15;0,15;1;1;1;1;0;0;-13696,9333671381;-0,0400319369509816;
0,2;0,2;1;1;1;1;0;0;-13696,9333671381;-0,0400819722563028;
0,25;0,25;1;1;1;1;0;0;-13696,9333671381;-0,0400397274643183;
0,3;0,3;1;1;1;1;0;0;-13696,9333671381;-0,0400047795847058;
0,35;0,35;1;1;1;1;0;0;-13696,9333671381;-0,0402981322258711;
0,4;0,4;1;1;1;1;0;0;-13696,9333671381;-0,0402782158926129;
0,45;0,45;1;1;1;1;0;0;-13696,9333671381;-0,040344363078475;
0,5;0,5;1;1;1;1;0;0;-13696,9333671381;-0,0403119577094913;
0,55;0,55;1;1;1;1;0;0;-13696,9333671381;-0,0406914716586471;
0,6;0,6;1;1;1;1;0;0;-13696,9333671381;-0,0407343963161111;
0,65;0,65;1;1;1;1;0;0;-13696,9333671381;-0,0406937766820192;
0,7;0,7;1;1;1;1;0;0;-13696,9333671381;-0,0411203783005476;
0,75;0,75;1;1;1;1;0;0;-13696,9753884117;-0,0415769778192043;
0,8;0,8;1;1;1;1;0;0;-13697,1989058244;-0,0424190983176231;
0,85;0,85;1;1;1;1;0;0;-13697,4215291674;-0,0422694766893983;
0,9;0,9;1;1;1;1;0;0;-13697,6450465801;-0,043435781262815;
0,95;0,95;1;1;1;1;0;0;-13697,8685639928;-0,0441336072981358;
1;1;1;1;1;1;0;0;-13697,9052208485;-0,04530796315521;
1,05;1,05;1;1;1;1;0;0;-13697,9052208485;-0,0487268203869462;
1,1;1,1;1;1;1;1;0;0;-13698,1260560523;-0,0510152569040656;
1,15;1,15;1;1;1;1;0;0;-13699,2776177624;-0,0597935123369098;
1,2;1,2;1;1;1;1;0;0;-13701,2856981981;-0,0693364581093192;
1,25;1,25;1;1;1;1;0;0;-13703,2946727033;-0,0726280454546213;
1,3;1,3;1;1;1;1;0;0;-13704,4667980155;-0,0766836246475577;
1,35;1,35;1;1;1;1;0;0;-13705,1614901342;-0,079437717795372;
1,4;1,4;1;1;1;1;0;0;-13705,6076308899;-0,0821141619235277;
1,45;1,45;1;1;1;1;0;0;-13706,0537716456;-0,0838492903858423;
1,5;1,5;1;1;1;1;0;0;-13706,4185520631;-0,0867299176752567;
1,55;1,55;1;1;1;1;0;0;-13706,6420694758;-0,0884020980447531;
1,6;1,6;1;1;1;1;0;0;-13706,8646928189;-0,0901005603373051;
1,65;1,65;1;1;1;1;0;0;-13707,0882102316;-0,092136561870575;
1,7;1,7;1;1;1;1;0;0;-13707,3644777537;-0,0934495404362679;
1,75;1,75;1;1;1;1;0;0;-13707,8106185094;-0,0948207825422287;
1,8;1,8;1;1;1;1;0;0;-13708,2567592651;-0,0964045897126198;
1,85;1,85;1;1;1;1;0;0;-13708,7029000209;-0,0978168286383152;
1,9;1,9;1;1;1;1;0;0;-13709,1490407766;-0,100651411339641;
1,95;1,95;1;1;1;1;0;0;-13709,596075602;-0,102161075919867;
2;2;1;1;1;1;0;0;-13710,0422163577;-0,104954373091459;
2,05;2,05;1;1;1;1;0;0;-13710,4883571134;-0,106160910800099;
2,1;2,1;1;1;1;1;0;0;-13710,9344978692;-0,106502203270793;
2,15;2,15;1;1;1;1;0;0;-13711,3806386249;-0,107582444325089;
2,2;2,2;1;1;1;1;0;0;-13711,8276734503;-0,108553897589445;
2,25;2,25;1;1;1;1;0;0;-13712,220170027;-0,109755750745535;
2,3;2,3;1;1;1;1;0;0;-13712,44279337;-0,110318623483181;
2,35;2,35;1;1;1;1;0;0;-13712,6663107827;-0,111224809661508;
2,4;2,4;1;1;1;1;0;0;-13712,8898281954;-0,112000843510032;
2,45;2,45;1;1;1;1;0;0;-13713,1124515384;-0,11269573122263;
2,5;2,5;1;1;1;1;0;0;-13713,1812949016;-0,113307777792215;
2,55;2,55;1;1;1;1;0;0;-13713,1812949016;-0,113979941233993;
2,6;2,6;1;1;1;1;0;0;-13713,1812949016;-0,114721795544028;
2,65;2,65;1;1;1;1;0;0;-13713,1812949016;-0,115594435483217;
2,7;2,7;1;1;1;1;0;0;-13713,1812949016;-0,120424469932914;
2,75;2,75;1;1;1;1;0;0;-13713,7400884333;-0,124947996810079;
2,8;2,8;1;1;1;1;0;0;-13714,6332640144;-0,126897413283587;
2,85;2,85;1;1;1;1;0;0;-13715,5255455259;-0,129353413358331;
