"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
3,4;3,4;1;1;1;1;0;0;-14870,3953134245;-0,160399377346039;
3,45;3,45;1;1;1;1;0;0;-14870,3953134245;-0,162665154784918;
3,5;3,5;1;1;1;1;0;0;-14870,3953134245;-0,164641477167606;
3,55;3,55;1;1;1;1;0;0;-14870,3953134245;-0,166880078613758;
3,6;3,6;1;1;1;1;0;0;-14870,3953134245;-0,168582778424025;
3,65;3,65;1;1;1;1;0;0;-14870,3953134245;-0,169666558504105;
3,7;3,7;1;1;1;1;0;0;-14870,7144962898;-0,171318892389536;
3,75;3,75;1;1;1;1;0;0;-14871,1615311152;-0,173625722527504;
3,8;3,8;1;1;1;1;0;0;-14871,6076718709;-0,175879560410976;
3,85;3,85;1;1;1;1;0;0;-14872,0538126267;-0,17754016444087;
3,9;3,9;1;1;1;1;0;0;-14872,4999533824;-0,178997684270144;
3,95;3,95;1;1;1;1;0;0;-14872,9460941381;-0,180793069303036;
4;4;1;1;1;1;0;0;-14873,3931289635;-0,182683933526278;
4,05;4,05;1;1;1;1;0;0;-14873,8392697193;-0,184919890016317;
4,1;4,1;1;1;1;1;0;0;-14874,285410475;-0,186545811593533;
4,15;4,15;1;1;1;1;0;0;-14874,7315512307;-0,188597608357668;
4,2;4,2;1;1;1;1;0;0;-14874,8057590117;-0,190402008593082;
4,25;4,25;1;1;1;1;0;0;-14874,8057590117;-0,192412566393614;
4,3;4,3;1;1;1;1;0;0;-14874,8057590117;-0,194332096725702;
4,35;4,35;1;1;1;1;0;0;-14874,8057590117;-0,19581763073802;
4,4;4,4;1;1;1;1;0;0;-14874,8057590117;-0,197482835501432;
4,45;4,45;1;1;1;1;0;0;-14874,8057590117;-0,199950579553843;
4,5;4,5;1;1;1;1;0;0;-14875,1043782751;-0,201688893139362;
4,55;4,55;1;1;1;1;0;0;-14875,5505190308;-0,203794613480568;
4,6;4,6;1;1;1;1;0;0;-14875,9966597866;-0,206055734306574;
