"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
0;0;1;1;1;1;0;0;-15929,0971615471;-0,039505991153419;
0,05;0,05;1;1;1;1;0;0;-15929,0971615471;-0,0395001284778118;
0,1;0,1;1;1;1;1;0;0;-15929,0971615471;-0,0395611859858036;
0,15;0,15;1;1;1;1;0;0;-15929,0971615471;-0,0395671837031841;
0,2;0,2;1;1;1;1;0;0;-15929,0971615471;-0,0396255031228065;
0,25;0,25;1;1;1;1;0;0;-15929,0971615471;-0,0396365998312831;
0,3;0,3;1;1;1;1;0;0;-15929,0971615471;-0,039709871634841;
0,35;0,35;1;1;1;1;0;0;-15929,0971615471;-0,039696698077023;
0,4;0,4;1;1;1;1;0;0;-15929,0971615471;-0,0396183785051107;
0,45;0,45;1;1;1;1;0;0;-15929,0971615471;-0,0396021222695708;
0,5;0,5;1;1;1;1;0;0;-15929,0971615471;-0,0396398873999715;
0,55;0,55;1;1;1;1;0;0;-15929,0971615471;-0,0397612992674112;
0,6;0,6;1;1;1;1;0;0;-15929,0971615471;-0,0397460209205747;
0,65;0,65;1;1;1;1;0;0;-15929,0971615471;-0,0397240975871682;
0,7;0,7;1;1;1;1;0;0;-15929,0971615471;-0,0397556088864803;
0,75;0,75;1;1;1;1;0;0;-15929,0971615471;-0,0397377461194992;
0,8;0,8;1;1;1;1;0;0;-15929,0971615471;-0,0399339990690351;
0,85;0,85;1;1;1;1;0;0;-15929,0971615471;-0,0399298593401909;
0,9;0,9;1;1;1;1;0;0;-15929,0971615471;-0,0399406440556049;
0,95;0,95;1;1;1;1;0;0;-15929,0971615471;-0,039989766664803;
1;1;1;1;1;1;0;0;-15929,0971615471;-0,0400998955592513;
1,05;1,05;1;1;1;1;0;0;-15929,0971615471;-0,0401064939796925;
1,1;1,1;1;1;1;1;0;0;-15929,0971615471;-0,0401839753612876;
1,15;1,15;1;1;1;1;0;0;-15929,0971615471;-0,0403108494356275;
1,2;1,2;1;1;1;1;0;0;-15929,0971615471;-0,0404069013893604;
1,25;1,25;1;1;1;1;0;0;-15929,0971615471;-0,0404057884588838;
1,3;1,3;1;1;1;1;0;0;-15929,0971615471;-0,0406109262257814;
1,35;1,35;1;1;1;1;0;0;-15929,0971615471;-0,0407933862879872;
1,4;1,4;1;1;1;1;0;0;-15929,0971615471;-0,0408059125766158;
1,45;1,45;1;1;1;1;0;0;-15929,0971615471;-0,040889335796237;
1,5;1,5;1;1;1;1;0;0;-15929,0971615471;-0,0409761816263199;
1,55;1,55;1;1;1;1;0;0;-15929,0971615471;-0,0409941840916872;
1,6;1,6;1;1;1;1;0;0;-15929,0971615471;-0,0411063432693481;
1,65;1,65;1;1;1;1;0;0;-15929,0971615471;-0,0412240205332637;
1,7;1,7;1;1;1;1;0;0;-15929,0971615471;-0,0413976656273007;
1,75;1,75;1;1;1;1;0;0;-15929,0971615471;-0,041554388590157;
1,8;1,8;1;1;1;1;0;0;-15929,0971615471;-0,0416170153766871;
1,85;1,85;1;1;1;1;0;0;-15929,0971615471;-0,0418776599690318;
1,9;1,9;1;1;1;1;0;0;-15929,0971615471;-0,0418451987206936;
1,95;1,95;1;1;1;1;0;0;-15929,0971615471;-0,0420044036582112;
2;2;1;1;1;1;0;0;-15929,0971615471;-0,0420595984905958;
2,05;2,05;1;1;1;1;0;0;-15929,4512131288;-0,0422835210338235;
2,1;2,1;1;1;1;1;0;0;-15929,8964598149;-0,042451461777091;
2,15;2,15;1;1;1;1;0;0;-15930,3434946402;-0,0428071385249496;
2,2;2,2;1;1;1;1;0;0;-15930,7905294656;-0,0431354390457273;
2,25;2,25;1;1;1;1;0;0;-15931,2357761517;-0,0433842930942774;
2,3;2,3;1;1;1;1;0;0;-15931,6828109771;-0,0445400271564722;
2,35;2,35;1;1;1;1;0;0;-15932,1280576632;-0,045464257709682;
2,4;2,4;1;1;1;1;0;0;-15932,5750924886;-0,0474682822823524;
2,45;2,45;1;1;1;1;0;0;-15933,5657216616;-0,0514291087165475;
2,5;2,5;1;1;1;1;0;0;-15934,9050379985;-0,0538205215707421;
2,55;2,55;1;1;1;1;0;0;-15936,2443543353;-0,0552353169769049;
2,6;2,6;1;1;1;1;0;0;-15937,5836706722;-0,0563055323436856;
2,65;2,65;1;1;1;1;0;0;-15938,9211988697;-0,0572610832750797;
2,7;2,7;1;1;1;1;0;0;-15939,8456668886;-0,058241244405508;
2,75;2,75;1;1;1;1;0;0;-15939,8742771174;-0,058912131935358;
2,8;2,8;1;1;1;1;0;0;-15939,8742771174;-0,0596215343102813;
2,85;2,85;1;1;1;1;0;0;-15939,8742771174;-0,0603134045377374;
2,9;2,9;1;1;1;1;0;0;-15939,8742771174;-0,0610946351662278;
2,95;2,95;1;1;1;1;0;0;-15939,8742771174;-0,0617669383063912;
3;3;1;1;1;1;0;0;-15939,8742771174;-0,0623223185539246;
3,05;3,05;1;1;1;1;0;0;-15939,8742771174;-0,0630347244441509;
3,1;3,1;1;1;1;1;0;0;-15939,8742771174;-0,0638183997943997;
3,15;3,15;1;1;1;1;0;0;-15939,8742771174;-0,0642614904791117;
3,2;3,2;1;1;1;1;0;0;-15939,8742771174;-0,0651439419016242;
3,25;3,25;1;1;1;1;0;0;-15940,1961421917;-0,0657612085342407;
3,3;3,3;1;1;1;1;0;0;-15940,6431770171;-0,0663144746795297;
3,35;3,35;1;1;1;1;0;0;-15941,0884237032;-0,066748633980751;
3,4;3,4;1;1;1;1;0;0;-15941,5354585286;-0,0673843966796994;
3,45;3,45;1;1;1;1;0;0;-15941,982493354;-0,0680564064532518;
3,5;3,5;1;1;1;1;0;0;-15942,42774004;-0,0684694666415453;
3,55;3,55;1;1;1;1;0;0;-15942,8747748654;-0,0685721496120095;
3,6;3,6;1;1;1;1;0;0;-15943,3200215515;-0,0686206901445985;
3,65;3,65;1;1;1;1;0;0;-15943,5649966358;-0,0686216447502375;
3,7;3,7;1;1;1;1;0;0;-15943,5649966358;-0,0686674751341343;
3,75;3,75;1;1;1;1;0;0;-15943,5649966358;-0,0687914155423641;
3,8;3,8;1;1;1;1;0;0;-15943,5649966358;-0,0688973953947425;
3,85;3,85;1;1;1;1;0;0;-15943,5649966358;-0,0689202919602394;
3,9;3,9;1;1;1;1;0;0;-15943,5649966358;-0,0690378993749619;
3,95;3,95;1;1;1;1;0;0;-15943,5649966358;-0,0693683605641127;
4;4;1;1;1;1;0;0;-15943,5649966358;-0,0698548182845116;
4,05;4,05;1;1;1;1;0;0;-15943,5649966358;-0,0703952647745609;
4,1;4,1;1;1;1;1;0;0;-15943,5649966358;-0,0710425712168217;
4,15;4,15;1;1;1;1;0;0;-15943,5649966358;-0,071445438079536;
4,2;4,2;1;1;1;1;0;0;-15943,5649966358;-0,0722368666902184;
4,25;4,25;1;1;1;1;0;0;-15943,5649966358;-0,0726834964007139;
4,3;4,3;1;1;1;1;0;0;-15943,5649966358;-0,0733156641945243;
4,35;4,35;1;1;1;1;0;0;-15943,5649966358;-0,0738666439428926;
4,4;4,4;1;1;1;1;0;0;-15943,5757254716;-0,0743542099371552;
4,45;4,45;1;1;1;1;0;0;-15944,022760297;-0,0745717110112309;
4,5;4,5;1;1;1;1;0;0;-15944,4680069831;-0,0750824110582471;
4,55;4,55;1;1;1;1;0;0;-15944,9150418085;-0,0754589913412929;
4,6;4,6;1;1;1;1;0;0;-15945,3620766339;-0,076065375469625;
4,65;4,65;1;1;1;1;0;0;-15945,8073233199;-0,0768027827143669;
4,7;4,7;1;1;1;1;0;0;-15946,2543581453;-0,0769891776144505;
4,75;4,75;1;1;1;1;0;0;-15946,3848923143;-0,0774143915623426;
4,8;4,8;1;1;1;1;0;0;-15946,3848923143;-0,0777174858376384;
4,85;4,85;1;1;1;1;0;0;-15946,3848923143;-0,0782068260014057;
4,9;4,9;1;1;1;1;0;0;-15946,3848923143;-0,0787847489118576;
4,95;4,95;1;1;1;1;0;0;-15946,3848923143;-0,0790184363722801;
5;5;1;1;1;1;0;0;-15946,3848923143;-0,0793850235641003;
5,05;5,05;1;1;1;1;0;0;-15946,3848923143;-0,0795720331370831;
5,1;5,1;1;1;1;1;0;0;-15946,3848923143;-0,0800160132348537;
5,15;5,15;1;1;1;1;0;0;-15946,3848923143;-0,0806650426238775;
5,2;5,2;1;1;1;1;0;0;-15946,3848923143;-0,0813833810389042;
5,25;5,25;1;1;1;1;0;0;-15946,3848923143;-0,0821319501847029;
5,3;5,3;1;1;1;1;0;0;-15946,6620539061;-0,0825728196650743;
5,35;5,35;1;1;1;1;0;0;-15947,1090887315;-0,0828011613339186;
5,4;5,4;1;1;1;1;0;0;-15947,5561235569;-0,0832022354006767;
5,45;5,45;1;1;1;1;0;0;-15948,0013702429;-0,0834858790040016;
5,5;5,5;1;1;1;1;0;0;-15948,4484050683;-0,0842460617423058;
5,55;5,55;1;1;1;1;0;0;-15948,8936517544;-0,0847131013870239;
5,6;5,6;1;1;1;1;0;0;-15949,2226693859;-0,0849834550172091;
5,65;5,65;1;1;1;1;0;0;-15949,2226693859;-0,0855059176683426;
5,7;5,7;1;1;1;1;0;0;-15949,2226693859;-0,0857979152351618;
5,75;5,75;1;1;1;1;0;0;-15949,2226693859;-0,0862869154661894;
5,8;5,8;1;1;1;1;0;0;-15949,2226693859;-0,0866318307816982;
5,85;5,85;1;1;1;1;0;0;-15949,2226693859;-0,0870523881167173;
5,9;5,9;1;1;1;1;0;0;-15949,2226693859;-0,0873383320868015;
5,95;5,95;1;1;1;1;0;0;-15949,2226693859;-0,0877337995916605;
6;6;1;1;1;1;0;0;-15949,2226693859;-0,0880969502031803;
6,05;6,05;1;1;1;1;0;0;-15949,2226693859;-0,0885736383497715;
6,1;6,1;1;1;1;1;0;0;-15949,2226693859;-0,0890898983925581;
6,15;6,15;1;1;1;1;0;0;-15949,2226693859;-0,0894370768219233;
6,2;6,2;1;1;1;1;0;0;-15949,3871782016;-0,0898236874490976;
6,25;6,25;1;1;1;1;0;0;-15949,834213027;-0,0902777351438999;
6,3;6,3;1;1;1;1;0;0;-15950,2794597131;-0,0906521826982498;
6,35;6,35;1;1;1;1;0;0;-15950,7264945385;-0,090841157361865;
6,4;6,4;1;1;1;1;0;0;-15951,1717412246;-0,091038728132844;
6,45;6,45;1;1;1;1;0;0;-15951,6187760499;-0,0912372581660748;
6,5;6,5;1;1;1;1;0;0;-15951,8369290447;-0,0914382375776768;
6,55;6,55;1;1;1;1;0;0;-15951,8369290447;-0,0915741641074419;
6,6;6,6;1;1;1;1;0;0;-15951,8369290447;-0,0917215086519718;
6,65;6,65;1;1;1;1;0;0;-15951,8369290447;-0,0920461118221283;
6,7;6,7;1;1;1;1;0;0;-15951,8369290447;-0,0931182131171227;
6,75;6,75;1;1;1;1;0;0;-15951,8369290447;-0,0943511724472046;
6,8;6,8;1;1;1;1;0;0;-15951,8369290447;-0,0958777032792568;
6,85;6,85;1;1;1;1;0;0;-15951,8369290447;-0,0968413893133402;
6,9;6,9;1;1;1;1;0;0;-15951,8369290447;-0,0975004024803638;
6,95;6,95;1;1;1;1;0;0;-15951,8369290447;-0,0980687513947487;
7;7;1;1;1;1;0;0;-15952,0032259998;-0,0986851472407579;
7,05;7,05;1;1;1;1;0;0;-15952,4484726859;-0,0991304311901331;
7,1;7,1;1;1;1;1;0;0;-15952,8955075112;-0,0998695753514767;
7,15;7,15;1;1;1;1;0;0;-15953,3407541973;-0,100173456594348;
7,2;7,2;1;1;1;1;0;0;-15953,7877890227;-0,100700668990612;
7,25;7,25;1;1;1;1;0;0;-15954,2348238481;-0,101127782836556;
7,3;7,3;1;1;1;1;0;0;-15954,6800705342;-0,101777957752347;
7,35;7,35;1;1;1;1;0;0;-15955,1074358272;-0,102465096861124;
7,4;7,4;1;1;1;1;0;0;-15955,1074358272;-0,102659724652767;
7,45;7,45;1;1;1;1;0;0;-15955,1074358272;-0,103095956146717;
7,5;7,5;1;1;1;1;0;0;-15955,1074358272;-0,103543065488338;
7,55;7,55;1;1;1;1;0;0;-15955,1074358272;-0,104315346106887;
7,6;7,6;1;1;1;1;0;0;-15955,1074358272;-0,104855950921774;
7,65;7,65;1;1;1;1;0;0;-15955,1074358272;-0,105451261624694;
7,7;7,7;1;1;1;1;0;0;-15955,1074358272;-0,10595889762044;
7,75;7,75;1;1;1;1;0;0;-15955,1074358272;-0,106810983270407;
7,8;7,8;1;1;1;1;0;0;-15955,1074358272;-0,107107711955905;
7,85;7,85;1;1;1;1;0;0;-15955,1914783744;-0,107358563691378;
7,9;7,9;1;1;1;1;0;0;-15955,6367250605;-0,107776969671249;
7,95;7,95;1;1;1;1;0;0;-15956,0837598859;-0,108230886980891;
8;8;1;1;1;1;0;0;-15956,5307947113;-0,108725884929299;
8,05;8,05;1;1;1;1;0;0;-15956,9760413974;-0,109210507944226;
8,1;8,1;1;1;1;1;0;0;-15957,4230762227;-0,109911365434527;
8,15;8,15;1;1;1;1;0;0;-15957,6662631678;-0,110549842938781;
8,2;8,2;1;1;1;1;0;0;-15957,6662631678;-0,111193163320422;
8,25;8,25;1;1;1;1;0;0;-15957,6662631678;-0,111549012362957;
8,3;8,3;1;1;1;1;0;0;-15957,6662631678;-0,112088909372687;
8,35;8,35;1;1;1;1;0;0;-15957,6662631678;-0,112639432772994;
8,4;8,4;1;1;1;1;0;0;-15957,6662631678;-0,113365445286036;
8,45;8,45;1;1;1;1;0;0;-15957,6662631678;-0,113912709057331;
8,5;8,5;1;1;1;1;0;0;-15957,6662631678;-0,114441215991974;
8,55;8,55;1;1;1;1;0;0;-15957,6662631678;-0,114955296739936;
8,6;8,6;1;1;1;1;0;0;-15957,6662631678;-0,115284444764256;
8,65;8,65;1;1;1;1;0;0;-15958,1043572966;-0,115716205909848;
8,7;8,7;1;1;1;1;0;0;-15958,551392122;-0,115869380533695;
8,75;8,75;1;1;1;1;0;0;-15958,9966388081;-0,116508016362786;
