Temps total (s),Temps de cycle écoulé (s),Nombre total de cycles,Cycles écoulés,Etape,Nombre total de cycles(Forme d'onde Linear),Nombre total de cycles(Forme d'onde Rotary),Pos (ľm),Effort_5N (N)
"0,092","0,092",1,1,1,0,0,"11347,56509","0,000721421"
"0,093","0,093",1,1,1,0,0,"11347,57313","0,001466926"
"0,094","0,094",1,1,1,0,0,"11347,58118","0,002164333"
"0,095","0,095",1,1,1,0,0,"11347,58923","0,002737134"
"0,096","0,096",1,1,1,0,0,"11347,59727","0,003057867"
"0,097","0,097",1,1,1,0,0,"11347,60264","0,003086426"
"0,098","0,098",1,1,1,0,0,"11347,60443","0,002912004"
"0,099","0,099",1,1,1,0,0,"11347,60264","0,002668141"
"0,1","0,1",1,1,1,0,0,"11347,59906","0,002367818"
"0,101","0,101",1,1,1,0,0,"11347,5928","0,001993212"
"0,102","0,102",1,1,1,0,0,"11347,58297","0,001600073"
"0,103","0,103",1,1,1,0,0,"11347,57045","0,001228191"
"0,104","0,104",1,1,1,0,0,"11347,55794","0,00088294"
"0,105","0,105",1,1,1,0,0,"11347,54631","0,000562049"
"0,106","0,106",1,1,1,0,0,"11347,53916","0,000329153"
"0,107","0,107",1,1,1,0,0,"11347,55078","0,000275318"
"0,108","0,108",1,1,1,0,0,"11347,58118","0,000372548"
"0,109","0,109",1,1,1,0,0,"11347,6089","0,000541089"
"0,11","0,11",1,1,1,0,0,"11347,61694","0,00075486"
"0,111","0,111",1,1,1,0,0,"11347,60443","0,000912719"
"0,112","0,112",1,1,1,0,0,"11347,58029","0,000982443"
"0,113","0,113",1,1,1,0,0,"11347,56419","0,000985893"
"0,114","0,114",1,1,1,0,0,"11347,56598","0,000905883"
"0,115","0,115",1,1,1,0,0,"11347,56866","0,000702674"
"0,116","0,116",1,1,1,0,0,"11347,55972","0,000429079"
"0,117","0,117",1,1,1,0,0,"11347,54452","1,00E-04"
"0,118","0,118",1,1,1,0,0,"11347,52843","-0,000331467"
"0,119","0,119",1,1,1,0,0,"11347,52396","-0,000820411"
"0,12","0,12",1,1,1,0,0,"11347,54363","-0,001212601"
"0,121","0,121",1,1,1,0,0,"11347,57939","-0,001445366"
"0,122","0,122",1,1,1,0,0,"11347,60711","-0,001470679"
"0,123","0,123",1,1,1,0,0,"11347,6089","-0,00116461"
"0,124","0,124",1,1,1,0,0,"11347,58923","-0,000603278"
"0,125","0,125",1,1,1,0,0,"11347,57313","4,27E-05"
"0,126","0,126",1,1,1,0,0,"11347,57671","0,00067533"
"0,127","0,127",1,1,1,0,0,"11347,58923","0,001237825"
"0,128","0,128",1,1,1,0,0,"11347,60085","0,001714616"
"0,129","0,129",1,1,1,0,0,"11347,60085","0,00206077"
"0,13","0,13",1,1,1,0,0,"11347,58118","0,002232417"
"0,131","0,131",1,1,1,0,0,"11347,55257","0,002183341"
"0,132","0,132",1,1,1,0,0,"11347,53648","0,001935838"
"0,133","0,133",1,1,1,0,0,"11347,54274","0,001556017"
"0,134","0,134",1,1,1,0,0,"11347,57045","0,001171427"
"0,135","0,135",1,1,1,0,0,"11347,59727","0,000904244"
"0,136","0,136",1,1,1,0,0,"11347,59638","0,000726352"
"0,137","0,137",1,1,1,0,0,"11347,57492","0,000576084"
"0,138","0,138",1,1,1,0,0,"11347,55525","0,000480451"
"0,139","0,139",1,1,1,0,0,"11347,56062","0,000460106"
"0,14","0,14",1,1,1,0,0,"11347,58655","0,000453657"
"0,141","0,141",1,1,1,0,0,"11347,60711","0,00043151"
"0,142","0,142",1,1,1,0,0,"11347,60711","0,000419607"
"0,143","0,143",1,1,1,0,0,"11347,58744","0,000422033"
"0,144","0,144",1,1,1,0,0,"11347,56419","0,000440511"
"0,145","0,145",1,1,1,0,0,"11347,55615","0,000431356"
"0,146","0,146",1,1,1,0,0,"11347,56598","0,000398499"
"0,147","0,147",1,1,1,0,0,"11347,57582","0,000419207"
"0,148","0,148",1,1,1,0,0,"11347,58386","0,0005585"
"0,149","0,149",1,1,1,0,0,"11347,59191","0,000800705"
"0,15","0,15",1,1,1,0,0,"11347,59459","0,001068232"
"0,151","0,151",1,1,1,0,0,"11347,58833","0,001315824"
"0,152","0,152",1,1,1,0,0,"11347,57403","0,001562624"
"0,153","0,153",1,1,1,0,0,"11347,55972","0,001747585"
"0,154","0,154",1,1,1,0,0,"11347,5633","0,001767986"
"0,155","0,155",1,1,1,0,0,"11347,57135","0,0015401"
"0,156","0,156",1,1,1,0,0,"11347,57582","0,001160046"
"0,157","0,157",1,1,1,0,0,"11347,57492","0,000793915"
"0,158","0,158",1,1,1,0,0,"11347,57045","0,000485918"
"0,159","0,159",1,1,1,0,0,"11347,56598","0,000271737"
"0,16","0,16",1,1,1,0,0,"11347,56241","0,00023406"
"0,161","0,161",1,1,1,0,0,"11347,55794","0,00039957"
"0,162","0,162",1,1,1,0,0,"11347,55883","0,000703493"
"0,163","0,163",1,1,1,0,0,"11347,56509","0,001123622"
"0,164","0,164",1,1,1,0,0,"11347,58029","0,001623873"
"0,165","0,165",1,1,1,0,0,"11347,59638","0,002161129"
"0,166","0,166",1,1,1,0,0,"11347,608","0,002620486"
"0,167","0,167",1,1,1,0,0,"11347,59996","0,00289653"
"0,168","0,168",1,1,1,0,0,"11347,57224","0,002956023"
"0,169","0,169",1,1,1,0,0,"11347,54184","0,002791751"
"0,17","0,17",1,1,1,0,0,"11347,53469","0,002394342"
"0,171","0,171",1,1,1,0,0,"11347,55883","0,001860489"
"0,172","0,172",1,1,1,0,0,"11347,58923","0,001271525"
"0,173","0,173",1,1,1,0,0,"11347,60085","0,000670203"
"0,174","0,174",1,1,1,0,0,"11347,59906","0,000168975"
"0,175","0,175",1,1,1,0,0,"11347,59459","-0,000151568"
"0,176","0,176",1,1,1,0,0,"11347,5937","-0,00020341"
"0,177","0,177",1,1,1,0,0,"11347,59817","3,47E-05"
"0,178","0,178",1,1,1,0,0,"11347,59996","0,000523957"
"0,179","0,179",1,1,1,0,0,"11347,58386","0,001248596"
"0,18","0,18",1,1,1,0,0,"11347,55972","0,002000732"
"0,181","0,181",1,1,1,0,0,"11347,54095","0,002607168"
"0,182","0,182",1,1,1,0,0,"11347,54005","0,00297389"
"0,183","0,183",1,1,1,0,0,"11347,55347","0,003117439"
"0,184","0,184",1,1,1,0,0,"11347,56956","0,00310984"
"0,185","0,185",1,1,1,0,0,"11347,58565","0,002850755"
"0,186","0,186",1,1,1,0,0,"11347,59549","0,002181022"
"0,187","0,187",1,1,1,0,0,"11347,60174","0,001112693"
"0,188","0,188",1,1,1,0,0,"11347,60174","-0,000133771"
"0,189","0,189",1,1,1,0,0,"11347,59191","-0,001365351"
"0,19","0,19",1,1,1,0,0,"11347,57492","-0,002385313"
"0,191","0,191",1,1,1,0,0,"11347,55972","-0,003087716"
"0,192","0,192",1,1,1,0,0,"11347,55168","-0,003359709"
"0,193","0,193",1,1,1,0,0,"11347,55794","-0,003090384"
"0,194","0,194",1,1,1,0,0,"11347,56598","-0,00227836"
"0,195","0,195",1,1,1,0,0,"11347,56688","-0,001153001"
"0,196","0,196",1,1,1,0,0,"11347,5633","3,94E-05"
"0,197","0,197",1,1,1,0,0,"11347,55347","0,001185383"
"0,198","0,198",1,1,1,0,0,"11347,54184","0,002204785"
"0,199","0,199",1,1,1,0,0,"11347,54542","0,003007394"
"0,2","0,2",1,1,1,0,0,"11347,55704","0,003498672"
"0,201","0,201",1,1,1,0,0,"11347,57313","0,003589755"
"0,202","0,202",1,1,1,0,0,"11347,58655","0,003190837"
"0,203","0,203",1,1,1,0,0,"11347,58476","0,002357033"
"0,204","0,204",1,1,1,0,0,"11347,58118","0,001297644"
"0,205","0,205",1,1,1,0,0,"11347,57671","0,00024124"
"0,206","0,206",1,1,1,0,0,"11347,57492","-0,000715819"
"0,207","0,207",1,1,1,0,0,"11347,57939","-0,001409622"
"0,208","0,208",1,1,1,0,0,"11347,58386","-0,001680474"
"0,209","0,209",1,1,1,0,0,"11347,58208","-0,001487876"
"0,21","0,21",1,1,1,0,0,"11347,57492","-0,000907378"
"0,211","0,211",1,1,1,0,0,"11347,56777","-7,83E-05"
"0,212","0,212",1,1,1,0,0,"11347,57313","0,000854824"
"0,213","0,213",1,1,1,0,0,"11347,58118","0,001663971"
"0,214","0,214",1,1,1,0,0,"11347,58833","0,002145502"
"0,215","0,215",1,1,1,0,0,"11347,58386","0,002259975"
"0,216","0,216",1,1,1,0,0,"11347,57313","0,00213752"
"0,217","0,217",1,1,1,0,0,"11347,56151","0,00184461"
"0,218","0,218",1,1,1,0,0,"11347,56598","0,001421077"
"0,219","0,219",1,1,1,0,0,"11347,58208","0,000924189"
"0,22","0,22",1,1,1,0,0,"11347,58565","0,000399491"
"0,221","0,221",1,1,1,0,0,"11347,57492","-8,96E-06"
"0,222","0,222",1,1,1,0,0,"11347,5633","-0,000217441"
"0,223","0,223",1,1,1,0,0,"11347,56151","-0,000244863"
"0,224","0,224",1,1,1,0,0,"11347,57224","-9,70E-05"
"0,225","0,225",1,1,1,0,0,"11347,58386","0,000220244"
"0,226","0,226",1,1,1,0,0,"11347,58386","0,000580931"
"0,227","0,227",1,1,1,0,0,"11347,57224","0,000886661"
"0,228","0,228",1,1,1,0,0,"11347,56062","0,001165071"
"0,229","0,229",1,1,1,0,0,"11347,56241","0,001420835"
"0,23","0,23",1,1,1,0,0,"11347,56598","0,001537423"
"0,231","0,231",1,1,1,0,0,"11347,57045","0,001499127"
"0,232","0,232",1,1,1,0,0,"11347,57492","0,001395815"
"0,233","0,233",1,1,1,0,0,"11347,57939","0,001302152"
"0,234","0,234",1,1,1,0,0,"11347,58744","0,00126109"
"0,235","0,235",1,1,1,0,0,"11347,59459","0,001306105"
"0,236","0,236",1,1,1,0,0,"11347,58655","0,00135594"
